Entity,Plan Name,Record Num,Type of Plan,Volunteer,Closed Plan,MERS Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,Comments,Plan NPO,footnotes,Total Pension Liability-GASB6768,Plan Fiduciary Net Position-GASB6768,Investment Rate of Return-GASB6768,Discount Rate-GASB6768,Money-Weighted Rate of Return-GASB6768,Emplyr Required ADC-GASB67,Emplyr Contribution-GASB67,Covered Employee Payroll-GASB6768,Valuation Date--GASB6768,Entry Age Method
"WOLCOTT","Town of Wolcott Board of Education",797,0,0,0,0,0,0,0,0,1,,0,194,0,,,,13975003,12017829,7.4999999999999997e-02,7.4999999999999997e-02,7.1800000000000003e-02,642343,655743,2984471,"2014-09-01 00:00:00",1
"MILFORD","City of Milford Retirement System",798,0,0,0,0,1,0,0,0,0,,0,1472,0,,,,373063000,335246000,7.7499999999999999e-02,7.7499999999999999e-02,-6.1999999999999998e-03,5871000,3925000,43811000,"2015-06-30 00:00:00",1
"MORRIS","Town of Morris Pension Plan",799,0,0,0,0,1,0,0,0,0,,0,12,0,,,,1248219,977291,7.0000000000000007e-02,7.0000000000000007e-02,-1.9699999999999999e-02,47938,49584,270616,"2013-07-01 00:00:00",0
"MORRIS","Volunteer Fire Plan",800,0,1,0,0,0,0,0,1,0,,0,48,0,,,,135294,108794,8.0000000000000002e-02,8.0000000000000002e-02,-4.9400000000000006e-02,4196,6061,,"2013-07-01 00:00:00",0
"NEW FAIRFIELD","Town of New Fairfield Town Employees Retirement Plan",801,0,0,0,0,1,0,0,0,0,,0,85,0,,,,7718763,7035500,6.7500000000000004e-02,6.7500000000000004e-02,1.9799999999999998e-02,301363,301000,2565373,"2014-01-01 00:00:00",1
"NEW FAIRFIELD","New Fairfield Board of Education Retirement Income Plan",802,0,0,0,0,0,0,0,0,1,,0,171,0,,,,6646781,6826614,6.2500000000000000e-02,6.2500000000000000e-02,1.7700000000000000e-02,289476,320000,3501799,"2014-01-01 00:00:00",1
"NEW HARTFORD","Town of New Hartford Pension Plan",803,0,0,1,0,1,0,0,0,0,,0,98,0,,,,4797382,2957824,7.4999999999999997e-02,7.0000000000000007e-02,1.7299999999999999e-02,253343,263543,1708040,"2013-07-01 00:00:00",1
"NEW LONDON","City of New London Contributory Pension Program",804,0,0,0,0,1,0,0,0,0,,0,377,0,,,,56137644,44488348,6.3799999999999996e-02,6.3799999999999996e-02,4.4500000000000005e-02,973000,685986,6804000,"2014-07-01 00:00:00",1
"EAST HARTFORD","East Hartford Employees' Retirement Plan",696,0,0,1,0,1,0,0,0,0,,0,1293,0,,,,373331000,214990000,8.0000000000000002e-02,8.0000000000000002e-02,8.0000000000000004e-04,11046000,11046000,40941000,"2014-07-01 00:00:00",1
"EAST LYME","Employee Pension Plan Ga-1006",697,0,0,0,0,1,0,0,0,0,,0,242,0,,,,23172985,17725532,7.0000000000000007e-02,7.0000000000000007e-02,1.3000000000000001e-02,1076823,1076823,8573798,"2015-01-01 00:00:00",1
"ENFIELD","Town of Enfield Pension Plan Gr-1663",698,0,0,0,0,1,0,0,0,0,,0,940,0,,,,66143000,61973000,7.2499999999999995e-02,7.0000000000000007e-02,4.4999999999999998e-02,2128000,2128000,21017000,"2014-07-01 00:00:00",1
"ENFIELD","Town of Enfield Police Department Pension Plan - Gr2299",699,0,0,0,0,0,0,1,0,0,,0,170,0,,,,57978000,53943000,7.2499999999999995e-02,7.0000000000000007e-02,4.5999999999999999e-02,1427000,1427000,6263000,"2014-07-01 00:00:00",1
"ESSEX","Town of Essex Employees' Retirement Plan",700,0,0,0,0,1,0,0,0,0,,0,71,0,,,,4002402,2931178,7.4999999999999997e-02,7.4999999999999997e-02,6.0599999999999994e-02,179006,219040,1743324,"2014-07-01 00:00:00",1
"ESSEX","Town of Essex Merit Service Plan",701,0,1,0,0,0,0,0,1,0,,0,72,0,,,,1379639,820223,7.4999999999999997e-02,7.4999999999999997e-02,5.9000000000000004e-02,60756,84999,,"2014-07-01 00:00:00",1
"ESSEX","Town of Essex Police Retirement Plan",702,0,0,0,0,0,0,1,0,0,,0,7,0,,,,1582948,643851,7.4999999999999997e-02,7.4999999999999997e-02,5.7999999999999996e-02,58426,71977,251676,"2014-07-01 00:00:00",1
"FARMINGTON","Town of Farmington Retirement Income Plan",703,0,0,0,0,1,0,0,0,0,,0,620,0,,,,106240391,80171664,7.0000000000000007e-02,7.0000000000000007e-02,2.0299999999999999e-02,2751795,2751795,20141456,"2014-07-01 00:00:00",1
"GLASTONBURY","Town of Glastonbury Pension Plan",704,0,0,0,0,1,0,0,0,0,,0,833,0,,,,165460013,121513748,7.1249999999999994e-02,7.1249999999999994e-02,9.1999999999999998e-03,6001585,6001585,27153582,"2014-07-01 00:00:00",1
"GOSHEN","Town of Goshen Pension Plan",705,0,0,1,0,1,0,0,0,0,,0,4,1,,,,93337,0,7.4999999999999997e-02,3.7999999999999999e-02,,12130,11684,,"2013-07-01 00:00:00",0
"GRANBY","Town of Granby Pension Plan",706,0,0,0,0,1,0,0,0,0,,0,115,0,"Actuarial Valuaiton Date--P 46--States 7/1/13.  P. 61 states 7/1/14.  Used 7/1/14.",,,18044434,15552402,7.4999999999999997e-02,7.4999999999999997e-02,1.5700000000000002e-02,456702,456702,3311245,"2014-07-01 00:00:00",1
"GREENWICH","Retirement System of The Town of Greenwich",707,0,0,0,0,1,0,0,0,0,,0,2322,0,"Note:  We call the Police Benefit Pension Fund a DC fund per e-mail request from Peter Mynarski, Greenwich's Controller, to David L. on 5/30/14.",,,516434097,391909117,7.0000000000000007e-02,7.0000000000000007e-02,1.4199999999999999e-02,22667753,22700000,71448856,"2014-07-01 00:00:00",1
"GROTON","Town of Groton - Retirement System",708,0,0,0,0,1,0,0,0,0,,0,599,0,,,,112746207,100018697,7.7499999999999999e-02,7.7499999999999999e-02,3.6200000000000003e-02,3192047,3192047,23605993,"2014-07-01 00:00:00",1
"GROTON (City of)","City of Groton Retirement Plan",709,0,0,0,0,1,0,0,0,0,,0,341,0,"Note:  L/T Rate of Return--Could not find in notes to f/s.  Made it the same as Discount Rate on p. 50.  Discount rate verbiage seems to indicate they are the same.",,,75803049,75178343,7.4999999999999997e-02,7.4999999999999997e-02,1.2600000000000000e-02,1166100,1479095,15356366,"2014-07-01 00:00:00",1
"GUILFORD","Town of Guilford Employees Pension Plan",710,0,0,0,0,1,0,0,0,0,,0,150,0,,,,19870955,19616867,7.0000000000000007e-02,7.0000000000000007e-02,2.1700000000000001e-02,957362,1580742,7184431,"2014-07-01 00:00:00",1
"GUILFORD","Town of Guilford Police Retirement Fund",711,0,0,1,0,0,0,1,0,0,,0,74,0,,,,22895095,21053845,7.0000000000000007e-02,7.0000000000000007e-02,2.1700000000000001e-02,785553,1688800,3151421,"2014-07-01 00:00:00",1
"GUILFORD","Town of Guilford Public School Employees (Non-Certified) Pension Plan",712,0,0,0,0,0,0,0,0,1,,0,217,0,,,,13085033,12001873,7.0000000000000007e-02,7.0000000000000007e-02,2.1700000000000001e-02,612839,317750,5432422,"2014-07-01 00:00:00",1
"HADDAM","Town of Haddam Employee Pension Plan",713,0,0,0,0,1,0,0,0,0,,0,48,0,"Used covered employee payroll per p. 43 for FY 15.  The net pension liability number ties to pgs. 37 & 38.",,,4982498,4229618,6.5000000000000002e-02,6.5000000000000002e-02,1.3800000000000000e-02,256565,240000,989549,"2014-07-01 00:00:00",1
"HADDAM","Town of Haddam Volunteer Firefighter's Plan",714,0,1,0,0,0,0,0,1,0,,0,131,0,,,,1934041,1505263,6.5000000000000002e-02,6.5000000000000002e-02,1.3700000000000000e-02,60922,83000,,"2014-07-01 00:00:00",1
"HAMDEN","Retirement Plan of The Town of Hamden",715,0,0,1,0,1,0,0,0,0,,0,1173,0,"Used 7/1/15 actuarial valuation date on p. 39.",,"***",454439941,163625653,7.0000000000000007e-02,7.0000000000000007e-02,-1.7600000000000001e-02,29536050,14768025,28992189,"2015-07-01 00:00:00",1
"HARWINTON","Town of Harwinton Pension Trust",716,0,0,0,0,1,0,0,0,0,,0,24,0,,,,3181472,3178096,7.4999999999999997e-02,7.4999999999999997e-02,7.4999999999999997e-02,112350,200000,993474,"2014-07-01 00:00:00",0
"KILLINGLY","Town of Killingly Retirement Income Plan",717,0,0,0,0,1,0,0,0,0,,0,157,0,,,,5476638,5850090,7.0000000000000007e-02,7.0000000000000007e-02,4.4900000000000002e-02,161874,161874,2268575,"2013-07-01 00:00:00",1
"KILLINGWORTH","Town of Killingworth Defined Benefit Plan",718,0,0,0,0,1,0,0,0,0,,0,23,0,"Do not see contributions anywhere.",,,2553862,2107172,7.0000000000000007e-02,7.0000000000000007e-02,1.1999999999999999e-03,,,702696,"2013-07-01 00:00:00",1
"KILLINGWORTH","Town of Killingworth Defined Benefit Plan- Volunteer Fire Company",719,0,1,0,0,0,0,0,1,0,,0,97,0,"Do not see contributions anywhere.",,,1814774,972743,7.0000000000000007e-02,7.0000000000000007e-02,-3.3000000000000000e-03,,,,"2013-07-01 00:00:00",1
"LEDYARD","Town of Ledyard Pension Plan",720,0,0,0,0,1,0,0,0,0,,0,222,0,,,,25014864,19308603,6.2500000000000000e-02,6.2500000000000000e-02,1.8900000000000000e-02,1168151,1075000,7935812,"2013-07-01 00:00:00",1
"LITCHFIELD","Town of Litchfield Municipal Employees Retirement Plan",721,0,0,1,0,1,0,0,0,0,,0,177,0,,,,15601000,11903000,7.0000000000000007e-02,7.0000000000000007e-02,2.9100000000000001e-02,844000,1094000,4108000,"2014-07-01 00:00:00",1
"LITCHFIELD","Volunteer Fire Dept. Supplemental Retirement Plan",722,0,1,0,0,0,0,0,1,0,,0,273,0,,,,3903000,3362000,7.0000000000000007e-02,7.0000000000000007e-02,2.9700000000000001e-02,150000,150000,,"2014-07-01 00:00:00",1
"NEW LONDON","City of New London Noncontributory Pension Program",805,0,0,1,0,1,0,0,0,0,,0,40,1,,,,7413401,0,3.7499999999999999e-02,3.7499999999999999e-02,0.0000000000000000e+00,604000,804770,60000,"2014-07-01 00:00:00",1
"NEW MILFORD","Town of New Milford Pension Plan",806,0,0,0,0,1,0,0,0,0,,0,692,0,,,,64196934,49816525,8.0000000000000002e-02,7.7499999999999999e-02,4.3200000000000002e-02,2450105,2466641,18130859,"2014-07-01 00:00:00",1
"NEWINGTON","Town of Newington Municipal Employees' Pension Plan",807,0,0,1,0,1,0,0,0,0,,0,309,0,,,,42069000,22944000,7.4999999999999997e-02,7.4999999999999997e-02,3.6400000000000002e-02,1594000,1594000,6807000,"2014-07-01 00:00:00",1
"NEWINGTON","Town of Newington Police Officers' Pension Plan",808,0,0,0,0,0,0,1,0,0,,0,125,0,,,,57704000,35744000,7.4999999999999997e-02,7.4999999999999997e-02,3.6699999999999997e-02,3195000,3195000,5536000,"2014-07-01 00:00:00",1
"NEWINGTON","Town of Newington Administrative Employees' Pension Plan",809,0,0,1,0,1,0,0,0,0,,0,46,0,,,,11688000,5673000,7.4999999999999997e-02,7.4999999999999997e-02,3.6499999999999998e-02,436000,436000,842000,"2014-07-01 00:00:00",1
"NEWINGTON","Town of Newington Volunteer Firefighters' Pension Plan",810,0,1,1,0,0,0,0,1,0,,0,109,0,,,,1441000,508000,5.9999999999999998e-02,5.9999999999999998e-02,-1.2000000000000000e-02,133000,133000,,"2013-07-01 00:00:00",1
"NORTH HAVEN","Pension Plan For General Employees of The Town of North Haven",811,0,0,0,0,0,1,0,0,1,,0,376,0,"Money weighted Rate of Return not disclosed",,,64955186,53119838,7.0000000000000007e-02,7.0000000000000007e-02,,2447872,2479521,7512900,"2015-07-01 00:00:00",1
"NORTH HAVEN","Town of North Haven Police Department Pension Plan",812,0,0,0,0,0,0,1,0,0,,0,83,0,"Money weighted Rate of Return not disclosed",,,33696429,22909104,7.0000000000000007e-02,7.0000000000000007e-02,,1388051,1313710,3419688,"2014-07-01 00:00:00",1
"NORTH HAVEN","Town of North Haven Firefighters'  Pension Plan",813,0,0,0,0,0,0,0,1,0,,0,58,0,"Money weighted Rate of Return not disclosed",,,20062612,14420873,7.0000000000000007e-02,7.0000000000000007e-02,,799260,742505,2182842,"2014-07-01 00:00:00",1
"NORTH HAVEN","Town of North Haven Volunteer Firefighters'  Pension Plan",814,0,1,0,0,0,0,0,1,0,,0,99,0,"Money weighted Rate of Return not disclosed",,,943874,892409,7.0000000000000007e-02,7.0000000000000007e-02,,35038,35038,,"2013-07-01 00:00:00",1
"NORTH HAVEN","Town of North Haven Pension Plan - Elected Officials",815,0,0,0,0,0,0,0,0,0,"ELECTED OFFICIALS",1,6,1,"Money weighted Rate of Return not disclosed",,,2028772,0,3.7999999999999999e-02,3.7999999999999999e-02,,171507,158961,189941,"2015-07-01 00:00:00",1
"RIDGEFIELD","Retirement Plan of Ridgefield-Town",816,0,0,0,0,0,1,0,0,1,,0,626,0,,,,50585539,51096739,6.7500000000000004e-02,6.7500000000000004e-02,8.5000000000000006e-03,1452534,1594234,14219170,"2013-07-01 00:00:00",1
"RIDGEFIELD","Retirement Plan of Ridgefield-Police Plan",817,0,0,0,0,0,0,1,0,0,,0,73,0,,,,28629974,27972359,6.7500000000000004e-02,6.7500000000000004e-02,8.5000000000000006e-03,559327,666957,2725530,"2013-07-01 00:00:00",1
"RIDGEFIELD","Retirement Plan of Ridgefield-Fire Plan",818,0,0,0,0,0,0,0,1,0,,0,50,0,,,,17386946,17227767,6.7500000000000004e-02,6.7500000000000004e-02,8.5000000000000006e-03,395562,391809,1691743,"2013-07-01 00:00:00",1
"ROCKY HILL","Town of Rocky Hill General Employees Pension Plan",819,0,0,0,0,0,1,0,0,1,,0,324,0,,,,39797353,35097376,7.4999999999999997e-02,7.4999999999999997e-02,3.2000000000000001e-02,1421628,1462942,9669472,"2014-09-01 00:00:00",1
"ROCKY HILL","Town of Rocky Hill: Police Officer Pension Plan",820,0,0,0,0,0,0,1,0,0,,0,55,0,,,,20600592,21979832,7.4999999999999997e-02,7.4999999999999997e-02,3.2099999999999997e-02,484928,523044,2446151,"2014-09-01 00:00:00",1
"ROCKY HILL","Town of Rocky Hill Firefighters Pension Plan",821,0,1,0,0,0,0,0,1,0,,0,195,0,,,,1460604,1214555,7.4999999999999997e-02,7.4999999999999997e-02,4.0700000000000000e-02,49697,76500,,"2014-07-01 00:00:00",1
"ROCKY HILL","Town of Rocky Hill: Ambulance Pension Plan",822,0,1,0,0,0,0,0,0,0,"AMBULANCE",1,59,0,,,,519540,688139,7.4999999999999997e-02,6.5000000000000002e-02,3.9699999999999999e-02,0,10000,,"2014-07-01 00:00:00",1
"SIMSBURY","General Government Retirement Income Plan",823,0,0,0,0,0,1,0,0,0,,0,239,0,,,,26835154,21015440,7.0000000000000007e-02,7.0000000000000007e-02,1.9699999999999999e-02,1013590,1013590,6477448,"2014-07-01 00:00:00",1
"SIMSBURY","Police Retirement Income Plan",824,0,0,0,0,0,0,1,0,0,,0,69,0,,,,18722179,14799718,7.0000000000000007e-02,7.0000000000000007e-02,1.9799999999999998e-02,632679,633000,2866183,"2014-07-01 00:00:00",1
"SIMSBURY","Board of Education Retirement Income Plan",825,0,0,0,0,0,0,0,0,1,,0,367,0,,,,26020747,18138441,7.0000000000000007e-02,7.0000000000000007e-02,1.8600000000000002e-02,1236631,1236631,7916465,"2014-07-01 00:00:00",1
"SOUTH WINDSOR","South Windsor Town Plan",826,0,0,0,0,1,0,0,0,0,,0,188,0,,,,37268971,23202956,7.4999999999999997e-02,7.4999999999999997e-02,3.0000000000000001e-03,1727470,1727470,4716701,"2014-01-01 00:00:00",1
"SOUTH WINDSOR","South Windsor Board of Education Plan",827,0,0,0,0,0,0,0,0,1,,0,161,0,,,,13834335,11990119,7.4999999999999997e-02,7.4999999999999997e-02,2.5999999999999999e-03,535965,268665,3122271,"2014-01-01 00:00:00",1
"STAMFORD","Custodian And Mechanics Retirement Trust Fund",828,0,0,0,0,0,0,0,0,1,"Mechanics",1,694,0,,,,67218749,56961858,7.6299999999999993e-02,7.6299999999999993e-02,7.3000000000000001e-03,1669000,1669000,19929857,"2014-07-01 00:00:00",0
"STAMFORD","Firefighter's Pension Trust Fund",829,0,0,0,0,0,0,0,1,0,,0,480,0,,,,171373011,124938467,7.2499999999999995e-02,7.2499999999999995e-02,1.5000000000000000e-03,3575000,3515000,20981143,"2014-07-01 00:00:00",0
"STAMFORD","Police Pension Trust Fund",830,0,0,0,0,0,0,1,0,0,,0,580,0,,,,238281321,195574732,7.6299999999999993e-02,7.6299999999999993e-02,4.3799999999999999e-02,6645000,6645000,22648757,"2014-07-01 00:00:00",0
"STAMFORD","Classified Employees Retirement Trust Fund",831,0,0,0,0,0,1,0,0,0,,0,1500,0,,,,250062776,206622350,7.6299999999999993e-02,7.6299999999999993e-02,1.4400000000000000e-02,6799000,6799000,44213643,"2014-07-01 00:00:00",0
"STRATFORD","Town of Stratford Employees' Retirement Plan",832,0,0,0,0,1,0,0,0,0,,0,936,0,,,"***",304916721,255314572,6.7500000000000004e-02,6.7500000000000004e-02,3.9100000000000003e-02,5185559,5220969,22237216,"2014-07-01 00:00:00",1
"SUFFIELD","Town of Suffield Retirement Plan",833,0,0,0,0,1,0,0,0,0,,0,309,0,,,,35005759,27309419,7.4999999999999997e-02,7.4999999999999997e-02,1.5200000000000000e-02,1292936,1292936,8831530,"2013-07-01 00:00:00",1
"THOMPSON","Town of Thompson Board of Education Retirement System",834,0,0,0,0,0,0,0,0,1,,0,69,0,,,,5562773,5491968,6.7500000000000004e-02,6.7500000000000004e-02,2.7999999999999997e-02,120797,120797,1583805,"2014-07-01 00:00:00",1
"WARREN","Town of Warren Pension Plan",835,0,0,1,0,1,0,0,0,0,,0,13,0,,,,869601,499779,5.9999999999999998e-02,5.9999999999999998e-02,9.0000000000000011e-03,57873,40963,189096,"2013-07-01 00:00:00",0
"WASHINGTON","Town of Washington Retirement Plan",836,0,0,1,0,1,0,0,0,0,,0,52,0,,,,3467361,3035847,5.5000000000000000e-02,5.5000000000000000e-02,2.0000000000000000e-02,135255,159275,965273,"2014-01-01 00:00:00",0
"WATERTOWN","Town of Watertown-General Town Employees",837,0,0,0,0,1,0,0,0,0,,0,245,0,,,,21837832,20144142,7.2499999999999995e-02,7.2499999999999995e-02,4.4000000000000004e-02,364691,364691,6505288,"2014-01-01 00:00:00",1
"WATERTOWN","Town of Watertown-Police Employees",838,0,0,0,0,0,0,1,0,0,,0,66,0,,,,23571702,18927040,7.2499999999999995e-02,7.2499999999999995e-02,4.4999999999999998e-02,770262,770262,2909407,"2014-01-01 00:00:00",1
"WEST HAVEN","City of West Haven Allingtown Fire District Plan",839,0,0,0,0,0,0,0,1,0,,0,52,0,,,,25659225,5329960,7.4999999999999997e-02,7.4999999999999997e-02,-1.7000000000000001e-02,1536083,1571325,1678136,"2013-07-01 00:00:00",1
"WEST HAVEN","City of West Haven Police Pension Fund",840,0,0,1,0,0,0,1,0,0,,0,242,0,,,"***",133092587,116222913,7.3749999999999996e-02,7.3749999999999996e-02,1.4300000000000000e-02,2342798,1274950,7160460,"2014-01-01 00:00:00",0
"WILTON","Wilton Employees' Retirement Plan",841,0,0,1,0,1,0,0,0,0,,0,548,0,,,,109378752,100097440,7.1249999999999994e-02,7.1300000000000002e-02,1.8600000000000002e-02,3005290,3456084,17959515,"2014-07-01 00:00:00",1
"WINCHESTER","Town of Winchester Employees' Retirement Plan",842,0,0,1,0,1,0,0,0,0,,0,100,0,,,,14855425,7564126,7.7499999999999999e-02,5.2999999999999999e-02,3.0299999999999997e-02,525230,448806,2376673,"2014-01-01 00:00:00",1
"WOODBURY",,843,0,0,0,0,1,0,0,0,0,,0,95,0,,,,11076611,5537203,7.2499999999999995e-02,7.2499999999999995e-02,3.7999999999999999e-02,397969,397969,2506767,"2015-07-01 00:00:00",1
"MANCHESTER","Town of Manchester Retirement Plan",844,0,0,0,0,1,0,0,0,0,,0,1455,0,,,,202337000,157063000,7.4999999999999997e-02,7.3749999999999996e-02,2.4199999999999999e-02,5116000,5116000,34496000,"2013-07-01 00:00:00",1
"HARTFORD","City MERF",847,0,0,0,0,1,0,0,0,0,,0,5411,0,,,,1348595000,1038194000,7.7499999999999999e-02,7.7499999999999999e-02,2.0000000000000000e-02,42874000,42874000,144227000,"2014-07-01 00:00:00",1
"HARTFORD","RAF/PBF/FRF pre 5/1/1947 PLAN",848,0,0,1,0,1,0,0,0,0,,0,87,1,,,,5994000,0,3.7999999999999999e-02,3.7999999999999999e-02,,755000,755000,,"2014-07-01 00:00:00",1
"MADISON","Retirement Plan For The Employees of The Town of Madison",723,0,0,0,0,0,1,0,0,1,,0,349,0,,,,21376260,16830456,7.2499999999999995e-02,7.2499999999999995e-02,7.3000000000000001e-03,951003,951003,7681806,"2014-07-01 00:00:00",1
"MADISON","Town of Madison Police Department Retirement Plan",724,0,0,0,0,0,0,1,0,0,,0,70,0,,,,17531207,13268935,7.2499999999999995e-02,7.2499999999999995e-02,1.0000000000000000e-02,521830,521830,1881292,"2014-07-01 00:00:00",1
"MADISON","Volunteer Fire Dept. Supplemental Retirement Program",725,0,1,0,0,0,0,0,1,0,,0,102,0,,,,1827283,1339602,5.9999999999999998e-02,5.9999999999999998e-02,1.1399999999999999e-02,102856,104867,,"2014-07-01 00:00:00",0
"MERIDEN","Meriden Employees' Retirement Plan",726,0,0,1,0,1,0,0,0,0,,0,1150,0,,,,173994515,139395471,8.0000000000000002e-02,8.0000000000000002e-02,7.6000000000000000e-03,2307742,2307742,38311000,"2014-07-01 00:00:00",1
"MERIDEN","Meriden Police Pension Plan",727,0,0,1,0,0,0,1,0,0,,0,194,0,,,,111077573,60552754,8.0000000000000002e-02,8.0000000000000002e-02,9.1999999999999998e-03,4227288,4227288,3790000,"2014-07-01 00:00:00",1
"MERIDEN","Meriden Firemen's Pension Plan",728,0,0,1,0,0,0,0,1,0,,0,171,0,,,,85393901,48461030,8.0000000000000002e-02,8.0000000000000002e-02,9.3000000000000010e-03,2823649,2823649,3430000,"2014-07-01 00:00:00",1
"MIDDLEBURY","Town of Middlebury Retirement Plan",729,0,0,0,0,1,0,0,0,0,,0,93,0,,,,18358393,15059243,7.4999999999999997e-02,7.4999999999999997e-02,3.7499999999999999e-02,490826,490826,3385155,"2013-07-01 00:00:00",1
"MIDDLETOWN","City of Middletown Retirement System",730,0,0,0,0,1,0,0,0,0,,0,1016,0,,,,321620000,377970000,7.4000000000000010e-02,7.4000000000000010e-02,2.7400000000000001e-02,2794000,2794000,36908000,"2014-07-01 00:00:00",1
"MONROE","Town of Monroe Retirement Income Plan",731,0,0,0,0,1,0,0,0,0,,0,300,0,"Money-Weighted ROR pcts. Are reported separately for Town and Bd. Of Ed on p. 48.  Pension is considered one plan per Marcia Marien e-mail  sent 9/13/16.  (See Monroe's folder.)",,,24212964,20526063,7.4999999999999997e-02,7.4999999999999997e-02,,771329,759398,7703464,"2014-07-01 00:00:00",1
"NAUGATUCK","The Borough of Naugatuck Fire Plan",732,0,0,1,0,0,0,0,1,0,,0,73,0,,,"***",36733094,34799542,7.7499999999999999e-02,7.7499999999999999e-02,2.8600000000000000e-02,925647,988400,3478593,"2014-07-01 00:00:00",1
"NAUGATUCK","The Borough of Naugatuck Employee Pension Plan",733,0,0,1,0,1,0,0,0,0,,0,835,0,,,"***",126398576,99988205,7.7499999999999999e-02,7.7499999999999999e-02,2.7400000000000001e-02,4304743,4557044,16768913,"2014-07-01 00:00:00",1
"NEW BRITAIN","New Britain Policemen's Pension Fund",734,0,0,1,0,0,0,1,0,0,,0,256,0,,,"***",86703000,69872000,7.4999999999999997e-02,7.4999999999999997e-02,2.7099999999999999e-02,1594000,1059000,3891000,"2014-07-01 00:00:00",1
"NEW BRITAIN","New Britain Firemen's Pension Fund",735,0,0,1,0,0,0,0,1,0,,0,221,0,,,"***",98161000,79808000,7.4999999999999997e-02,7.4999999999999997e-02,2.5499999999999998e-02,1138000,531000,4105000,"2014-07-01 00:00:00",1
"NEW CANAAN","Town of New Canaan Retirement Plan",736,0,0,0,0,1,0,0,0,0,,0,818,0,"L/T Investment ROR came from middle of p. 55.  That is, ""resulting in 6.8%"".",,,115625364,127202933,6.8000000000000005e-02,6.8300000000000000e-02,2.8500000000000001e-02,2610790,1044321,21585538,"2014-07-01 00:00:00",1
"NEW HAVEN","City Employees' Retirement Fund of New Haven",737,0,0,0,0,0,1,0,0,1,"FULL-TIME ELECTED OR APPOINTED OFFICERS",1,2054,0,"Fiduciary Net Position--Used amount on pgs. 57 & 60.",,,449262186,163691240,8.0000000000000002e-02,8.0000000000000002e-02,-1.6000000000000000e-02,17544752,17592663,49260490,"2014-07-01 00:00:00",1
"NEW HAVEN","Pension Fund For New Haven Policemen And Firemen",738,0,0,0,0,0,0,1,1,0,,0,1916,0,"Fiduciary Net Position--Used amount on pgs. 64 & 68.",,,687591252,326522975,8.0000000000000002e-02,8.0000000000000002e-02,7.3000000000000001e-03,25251586,25259846,51378227,"2014-07-01 00:00:00",1
"NEWTOWN","Town of Newtown Retirement System",739,0,0,0,0,1,0,0,0,0,,0,535,0,"Note: As the benefits for both police and Town/Nonctfd Bd of Ed employees can be paid from the assets of the fund's pooled investments, GAAP indicates that it shoud be reported as one DB Plan.  (Per Plan Administration, p. 67.)",,,45655009,35533245,7.4999999999999997e-02,7.4999999999999997e-02,2.4900000000000002e-02,1373207,1375889,17725368,"2014-07-01 00:00:00",1
"NORFOLK","Town of Norfolk Pension Plan",740,0,0,1,0,1,0,0,0,0,,0,37,0,"Actuarial Valuation Date--Used 7/1/14-top of p. 36 per BP on 8/30/16.",,,1711960,2140334,5.9999999999999998e-02,5.9999999999999998e-02,1.9500000000000000e-02,30732,190127,,"2014-07-01 00:00:00",0
"NORTH BRANFORD","Retirement Plan For Employees of The Town of North Branford - Municipal Employees",741,0,0,1,0,0,1,0,0,1,,0,92,0,,,,8553950,4971666,7.0000000000000007e-02,7.0000000000000007e-02,-3.0699999999999998e-02,338976,338976,1133716,"2014-07-01 00:00:00",1
"NORTH BRANFORD","Retirement Plan For Employees of The Town of North Branford - Police",742,0,0,1,0,0,0,1,0,0,,0,32,0,,,,10715524,7065172,7.0000000000000007e-02,7.0000000000000007e-02,-2.7900000000000001e-02,797007,797007,1715127,"2014-07-01 00:00:00",1
"NORTH BRANFORD","Retirement Plan For Employees of North Branford - Firefighters",743,0,1,1,0,0,0,0,1,0,,0,141,0,,,,3157709,1730806,7.0000000000000007e-02,7.0000000000000007e-02,-2.7900000000000001e-02,173885,173885,,"2014-07-01 00:00:00",0
"NORWALK","Employees' Pension Plan",744,0,0,1,0,0,1,0,0,1,,0,1345,0,,,,217663017,189209952,7.6249999999999998e-02,7.6249999999999998e-02,2.5699999999999997e-02,4846456,4911368,35518485,"2014-07-01 00:00:00",1
"NORWALK","Fire Benefit Fund",745,0,0,0,0,0,0,0,1,0,,0,291,0,,,,117809329,99894614,7.6249999999999998e-02,7.6249999999999998e-02,2.6099999999999998e-02,2547300,2547300,10148581,"2014-07-01 00:00:00",1
"NORWALK","Police Benefit Fund",746,0,0,0,0,0,0,1,0,0,,0,375,0,,,,141404292,107043062,7.6249999999999998e-02,7.6249999999999998e-02,2.6000000000000002e-02,4080602,4080602,12880465,"2014-07-01 00:00:00",1
"NORWALK","Food Service Employees' Plan",747,0,0,0,0,0,0,0,0,0,"Food Service",1,109,0,,,,2848272,2100160,7.6249999999999998e-02,7.6249999999999998e-02,2.5800000000000000e-02,134962,134962,1056694,"2014-07-01 00:00:00",1
"NORWICH","City of Norwich Employees' Retirement Fund",748,0,0,0,0,1,0,0,0,0,,0,1137,0,,,,242442000,159261000,7.7499999999999999e-02,7.7499999999999999e-02,2.8900000000000002e-02,9651000,6718000,39262000,"2013-07-01 00:00:00",1
