Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,Teachers,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,ADEC-GASB75,emplyr contrib made GASB75,GASB75 ValDate,GASB75 TOPEBL,GASB75 NetPosition,Investment Rate of Return GASB75,Discount Rate GASB75,Money Weight of Return GASB75,Entry Age Method GASB75,Covered Payroll GASB75,footnotes,Trust or Equivalent,Healthcare,Insurance,Other OPEB,DesriptionOtherOPEB,Comments,Closed,Alternative Method,CurYr HealthCare TrendRate,Projected Healthcare TrendRate
168,"SOUTHINGTON",0,"Town of Southington OPEB Plan",0,1,0,0,0,0,0,,0,1310,1,,,"2017-07-01 00:00:00",38475000,0,,3.8699999999999998e-02,,0,73422000,,0,1,0,0,,,0,0,7.4999999999999997e-02,4.7500000000000001e-02
169,"STAFFORD",0,"Stafford Board of Education OPEB Plan",0,0,0,0,0,1,1,,0,298,1,,,"2017-01-01 00:00:00",3760320,0,,3.8699999999999998e-02,,1,15234234,,0,1,0,0,,,0,0,7.4999999999999997e-02,4.5999999999999999e-02
170,"STERLING",0,"Sterling Public Schools OPEB Program",0,0,0,0,0,1,0,,0,36,1,,,,384125,0,,3.8699999999999998e-02,,1,2920844,,0,1,0,0,,"Don't know how to use healthcare trend rates for Access.  Usually rate goes from high to low.  These go from low to high.  Also, rates are different for medical, pharmacy, dental.",0,1,,
171,"STONINGTON",0,"Town of Stonington OPEB Plan",0,1,0,0,0,0,0,,0,487,0,453445,469114,"2017-07-01 00:00:00",5016786,1318749,6.2500000000000000e-02,6.2500000000000000e-02,3.0400000000000000e-02,1,29228684,,1,1,0,0,,,0,0,7.0000000000000007e-02,4.5999999999999999e-02
172,"THOMASTON",0,"Town of Thomaston OPEB Plan -Town",0,1,0,0,0,0,0,,0,75,0,1211597,869480,"2017-07-01 00:00:00",21196039,291530,7.0000000000000007e-02,5.2000000000000005e-02,3.4900000000000000e-02,1,2770895,,1,1,0,0,,,0,0,8.5000000000000006e-02,4.4999999999999998e-02
173,"THOMASTON",0,"Town of Thomaston OPEB Plan - Board of Education",0,0,0,0,0,1,1,,0,118,1,548111,173960,"2017-07-01 00:00:00",5563253,0,3.8699999999999998e-02,3.8699999999999998e-02,,1,,,0,1,1,0,,,0,0,8.5000000000000006e-02,4.4999999999999998e-02
174,"TRUMBULL",0,"Town of Trumbull OPEB Plan",0,1,0,0,0,0,0,,0,982,0,2941036,539392,"2016-07-01 00:00:00",33129073,682756,3.1300000000000001e-02,3.1300000000000001e-02,4.5000000000000005e-03,1,93213326,,1,1,1,0,,,0,0,8.0000000000000002e-02,5.0000000000000003e-02
175,"UNION",0,"Union Public School OPEB Program",0,0,0,0,0,1,0,,0,7,1,,,"2018-06-30 00:00:00",0,0,,3.5000000000000003e-02,,1,,,0,1,1,0,,,0,1,8.0000000000000002e-02,4.7000000000000000e-02
176,"VERNON",0,"Town of Vernon OPEB Plan - Town",0,1,0,0,0,0,0,,0,818,0,770427,586807,"2016-07-01 00:00:00",8676532,1057951,6.5000000000000002e-02,6.5000000000000002e-02,-4.5999999999999999e-02,0,52602048,,1,1,0,0,,,0,0,5.7000000000000002e-02,4.7000000000000000e-02
177,"WALLINGFORD",0,"WALLINGFORD OPEB PLAN",0,1,0,0,0,0,0,,0,1238,1,,,"2017-07-01 00:00:00",33966000,0,,3.8699999999999998e-02,,0,87084000,,0,1,0,0,,,0,0,7.2499999999999995e-02,4.7500000000000001e-02
178,"WATERFORD",0,"Town of Waterford OPEB Plan",0,1,0,0,0,0,0,,0,528,0,2474700,1906707,"2016-07-01 00:00:00",24356839,3636422,7.0000000000000007e-02,7.0000000000000007e-02,4.1299999999999996e-02,1,30429413,,1,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
179,"WEST HARTFORD",0,"Town of West Hartford OPEB Plan",0,1,0,0,0,0,0,,0,2269,0,12689000,12208000,"2017-07-01 00:00:00",179124000,4762000,7.0400000000000004e-02,7.0400000000000004e-02,2.6300000000000000e-02,1,120515000,,1,1,0,0,,,0,0,7.0999999999999994e-02,4.5999999999999999e-02
180,"WESTBROOK",0,"Town of Westbrook OPEB Plan - Town",0,1,0,0,0,0,0,,0,47,1,,,"2017-06-30 00:00:00",516539,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,8.0000000000000002e-02,5.0000000000000003e-02
181,"WESTBROOK",0,"Town of Westbrook OPEB Plan - Board of Education",0,0,0,0,0,1,1,,0,138,1,,,"2017-06-30 00:00:00",2770528,0,,3.1300000000000001e-02,,0,,,0,1,0,0,,,0,0,8.0000000000000002e-02,5.0000000000000003e-02
182,"WESTPORT",0,"Town of Westport OPEB Plan",0,1,0,0,0,0,0,,0,1582,0,10940639,9876782,"2017-07-01 00:00:00",145369632,62987127,6.1249999999999999e-02,6.1249999999999999e-02,9.3699999999999992e-02,1,80133851,,1,1,1,0,,,0,0,5.2999999999999999e-02,4.5999999999999999e-02
183,"WETHERSFIELD",0,"Town of Wethersfield OPEB Plan",0,1,0,0,0,0,0,,0,997,0,3819851,2996358,"2017-07-01 00:00:00",44709688,16556700,7.0000000000000007e-02,7.0000000000000007e-02,7.6399999999999996e-02,1,36442017,,1,0,0,0,,,0,0,6.5299999999999997e-02,4.4999999999999998e-02
184,"WILLINGTON",0,"Town of Willington OPEB Plan - Teachers",0,0,0,0,0,1,0,,0,38,1,,,,1105399,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,5.2999999999999999e-02,4.4000000000000004e-02
185,"WINDHAM",0,"Town of Windham OPEB Plan",0,1,0,0,0,0,0,,0,233,1,,,"2016-07-01 00:00:00",16811100,0,3.8699999999999998e-02,3.8699999999999998e-02,,1,34818995,,0,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
186,"WINDSOR",0,"Town of Windsor OPEB Plan",0,1,0,0,0,0,0,,0,854,0,5250156,1976204,"2017-07-01 00:00:00",46166414,1930967,5.0000000000000003e-02,3.8699999999999998e-02,5.9500000000000004e-02,1,45660809,,1,1,1,0,,,0,0,7.2700000000000001e-02,4.4699999999999997e-02
187,"WINDSOR LOCKS",0,"Town of Windsor Locks OPEB Plan",0,1,0,0,0,0,0,,0,,0,430226,317449,"2017-07-01 00:00:00",3346670,3635024,6.5000000000000002e-02,6.5000000000000002e-02,7.7100000000000002e-02,1,23435557,,1,1,0,0,,,0,0,7.4999999999999997e-02,5.0000000000000003e-02
188,"WOLCOTT",0,"Town of Wolcott OPEB Plan",0,1,0,0,0,0,0,,0,557,1,,,"2016-07-01 00:00:00",25950582,0,,3.5799999999999998e-02,,0,,,0,1,1,0,,"What use for current year trend rate when the pre-65 medical is 6.50% and the post-65 medical is 5.50%?",0,0,6.5000000000000002e-02,5.0000000000000003e-02
189,"WOODBRIDGE",0,"Town of Woodbridge OPEB Plan",0,1,0,0,0,0,0,,0,233,0,1645795,1413068,"2017-07-01 00:00:00",20332627,4364447,6.7500000000000004e-02,6.7500000000000004e-02,6.1200000000000004e-02,1,10586018,,1,1,0,0,,"Healthcare Cost Trend Rate--Current Year--Used 7.50% on p. 45.  The 8.0% for 2015, on page 43, appears to be for the 7/1/15 actuarial valuation date.  This was the actuarial valuatin date used in the FYE 6/30/17 audit report.",0,0,7.4999999999999997e-02,4.5999999999999999e-02
190,"WOODBURY",0,"Town of Woodbury OPEB Plan",0,1,0,0,0,0,0,,0,64,1,757098,194977,"2018-07-01 00:00:00",7626809,0,3.2300000000000002e-02,3.2300000000000002e-02,,1,2033085,,0,1,0,0,,,0,0,8.0000000000000002e-02,5.0000000000000003e-02
191,"WOODSTOCK",0,"Town of Woodstock OPEB Plan - Public Schools",0,0,0,0,0,1,0,,0,93,0,,,,5266191,0,,3.8300000000000001e-02,,0,,,0,1,0,0,,,0,1,,
192,"ANDOVER",0,"Town of Andover OPEB Plan",0,0,0,0,0,1,0,,0,54,1,,,"2016-07-01 00:00:00",534195,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,"Discount Rate--Used rate on p. 44 of f/s.",0,0,7.4999999999999997e-02,4.5999999999999999e-02
193,"ANSONIA",0,"City of Ansonia OPEB Plan",0,1,0,0,0,0,0,,0,498,1,,,"2017-07-01 00:00:00",29703857,0,,3.8699999999999998e-02,,1,,,0,1,1,0,,,0,0,8.1099999999999992e-02,4.4000000000000004e-02
194,"ASHFORD",0,"Town of Ashford Post Retirement Healthcare Plan",0,0,0,0,0,1,1,,0,39,1,,,"2018-06-30 00:00:00",767971,0,,4.0000000000000001e-02,,0,,,0,1,1,0,,"Healthcare: Pg. 42: 4.6% to 4.8% in 2020 to 4.7 in 2024",0,1,4.5999999999999999e-02,4.8000000000000001e-02
195,"BEACON FALLS",0,"Town of Beacon Falls OPEB Plan",0,1,0,0,0,0,0,,0,29,1,,,"2016-07-01 00:00:00",685830,0,,3.5799999999999998e-02,,0,,,0,1,0,0,,,0,1,7.0000000000000007e-02,5.0000000000000003e-02
196,"BERLIN",0,"Town of Berlin Post-Retirement Medical Program",0,1,0,0,0,0,0,,0,476,1,,,"2016-07-01 00:00:00",6005729,0,,3.8699999999999998e-02,,1,30769557,,0,1,0,0,,,0,0,5.2000000000000005e-02,4.4000000000000004e-02
197,"BOLTON",0,"Town of Bolton OPEB Plan",0,1,0,0,0,0,0,,0,153,1,,,"2017-07-01 00:00:00",1480746,0,,3.8699999999999998e-02,,1,9768341,,0,1,0,0,,,0,0,7.4999999999999997e-02,4.5999999999999999e-02
198,"BOZRAH",0,"Bozrah Public Schools OPEB Program",0,0,0,0,0,1,0,,0,47,1,,,"2018-06-30 00:00:00",439794,0,,3.6000000000000004e-02,,1,,,0,1,0,0,,,0,1,8.0000000000000002e-02,2.9999999999999999e-02
199,"BRANFORD",0,"Town of Branford Retirement Health Plan",0,1,0,0,0,0,0,,0,658,0,2016067,2218026,"2016-07-01 00:00:00",30544885,16106492,6.7500000000000004e-02,6.7500000000000004e-02,4.4999999999999998e-02,1,51420440,,1,1,0,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
200,"BURLINGTON",0,"Town of Burlington Post-Retirement Medical Insurance Program",0,1,0,0,0,0,0,,0,31,1,,,"2017-07-01 00:00:00",189609,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,8.9999999999999997e-02,5.0000000000000003e-02
201,"CANAAN",0,"Town of Canaan OPEB Plan",0,0,0,0,0,0,0,"Department of Public Works",1,5,1,,,"2017-07-01 00:00:00",113882,0,,3.8699999999999998e-02,,0,199659,,0,1,0,0,,,0,0,8.9999999999999997e-02,5.0000000000000003e-02
202,"CHAPLIN",0,"Chaplin Public Schools OPEB Program",0,0,0,0,0,1,0,,0,23,1,,,"2017-07-01 00:00:00",305027,0,,3.8699999999999998e-02,,1,2110545,,0,1,0,0,,,0,1,7.7499999999999999e-02,4.4999999999999998e-02
203,"CLINTON",0,"Town of Clinton Post-Retirement Medical Program - Town Employees",0,1,0,0,0,0,0,,0,129,1,184200,173005,"2016-07-01 00:00:00",2213621,31868,3.8699999999999998e-02,3.5799999999999998e-02,5.1299999999999998e-02,1,6145312,,0,1,1,0,,"Can't find % for healthcare cost trend rates (pg. 66).",0,0,,
204,"CLINTON",0,"Town of Clinton Post-Retirement Medical Program - Bd. of Ed",0,0,0,0,0,1,1,,0,272,1,577120,183915,"2017-07-01 00:00:00",7231986,74357,4.0000000000000001e-02,3.8699999999999998e-02,1.0820000000000000e-01,1,18486186,,1,1,1,0,,"Got % for healthcare cost trend rates from pg. 62 (pg. 66 also talks about it too)",0,0,6.3000000000000000e-02,4.4999999999999998e-02
205,"COLEBROOK",0,"Town of Colebrook Volunteer Fire Dept. Tax Abatement Program",1,0,0,0,1,0,0,,0,42,1,23027,,"2018-06-30 00:00:00",213132,0,,2.9999999999999999e-02,,1,,,0,0,0,1,"Real Estate/Motor Vehicle Property Tax Exemption",,0,0,,
206,"COLUMBIA",0,"Town of Columbia Post-Retirement Medical Insurance Program",0,1,0,0,0,0,0,,0,101,1,,,"2018-06-30 00:00:00",509881,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,7.0000000000000007e-02,4.5999999999999999e-02
207,"CORNWALL",0,,0,0,0,0,0,0,0,,0,,0,,,,,,,,,0,,,0,0,0,0,,,0,0,,
208,"DEEP RIVER",0,"Town of Deep River OPEB Plan",0,0,0,0,0,1,1,,0,54,1,,,"2017-07-01 00:00:00",524319,0,,3.6200000000000003e-02,,0,,,0,1,0,0,,,0,0,8.0000000000000002e-02,4.0000000000000001e-02
209,"DERBY",0,"City of Derby OPEB Plan",0,1,0,0,0,0,0,,0,414,1,,,"2016-07-01 00:00:00",29589978,0,,3.8699999999999998e-02,,1,,,0,1,1,0,,,0,0,8.1099999999999992e-02,4.4000000000000004e-02
210,"DURHAM",0,"Town of Durham Medical Benefit Plan",0,1,0,0,0,0,0,,0,28,1,,,"2017-07-01 00:00:00",65548,0,3.8699999999999998e-02,3.8699999999999998e-02,,0,1579612,,0,1,0,0,,,0,0,7.4999999999999997e-02,4.5999999999999999e-02
211,"MARLBOROUGH",0,"Town of Marlborough OPEB Plan",0,0,0,0,0,1,0,,0,49,1,,,"2017-07-01 00:00:00",536577,0,,3.8699999999999998e-02,,0,4084506,,0,1,0,0,,,0,0,7.0000000000000007e-02,4.5999999999999999e-02
212,"MILFORD",0,"Board of Education Retiree Medical Benefit -City of Milford OPEB",0,0,0,0,0,1,1,,0,1566,1,,,"2016-07-01 00:00:00",201965000,0,,3.8699999999999998e-02,7.1599999999999997e-02,0,65131000,,0,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
213,"MILFORD",0,"City of Milford Retiree Medical OPEB Plan-",0,1,0,0,0,0,0,,0,1068,0,15745000,7968000,"2016-07-01 00:00:00",185209000,7020000,4.0999999999999995e-02,4.0999999999999995e-02,7.1599999999999997e-02,1,39335000,,1,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
214,"MONTVILLE",0,"Town of Montville OPEB Plan",0,0,0,0,0,1,0,,0,329,1,,,"2018-06-30 00:00:00",1753853,0,,3.8699999999999998e-02,,0,,,0,1,1,0,,,0,1,8.0000000000000002e-02,5.0000000000000003e-02
215,"NAUGATUCK",0,"Naugatuck OPEB Plan",0,1,0,0,0,0,0,,0,1386,0,12576000,7350378,"2016-07-01 00:00:00",193687693,9138746,6.5000000000000002e-02,4.5800000000000000e-02,6.1600000000000002e-02,0,49189795,,1,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
216,"NEW FAIRFIELD",0,"Town of New Fairfield OPEB Plan",0,1,0,0,0,0,0,,0,239,0,540373,569331,"2017-07-01 00:00:00",6074436,3164480,6.5000000000000002e-02,6.5000000000000002e-02,5.7200000000000001e-02,1,16830444,,1,1,0,0,,,0,0,5.2000000000000005e-02,4.5999999999999999e-02
217,"NEW HAVEN",0,"City of New Haven OPEB Plan",0,1,0,0,0,0,0,,0,6188,1,50744000,27431281,"2017-07-01 00:00:00",619048698,2387486,4.0000000000000001e-02,4.0000000000000001e-02,2.8000000000000004e-03,1,222642000,,1,1,1,0,,,0,0,7.4999999999999997e-02,4.4999999999999998e-02
218,"NEW LONDON",0,"City of New London OPEB Plan",0,1,0,0,0,0,0,,0,818,0,2290779,1356630,"2016-07-01 00:00:00",28124815,749484,4.0000000000000001e-02,3.8699999999999998e-02,1.0170000000000000e-01,0,35659895,,1,1,0,0,,,0,0,5.4000000000000006e-02,4.4000000000000004e-02
219,"NEW MILFORD",0,"Town of New Milford OPEB Plan",0,1,0,0,0,0,0,,0,445,0,1359780,563767,"2016-07-01 00:00:00",14812121,0,4.0000000000000001e-02,3.6200000000000003e-02,9.5999999999999992e-03,0,27349000,,1,1,1,0,,,0,0,5.9000000000000004e-02,3.7999999999999999e-02
220,"NEWINGTON",0,"Town of Newington OPEB Plan",0,1,0,0,0,0,0,,0,706,0,1841000,1771000,"2016-07-01 00:00:00",24962000,6841000,7.1300000000000002e-02,7.1300000000000002e-02,1.2220000000000000e-01,0,46163000,,1,1,1,0,,,0,0,5.7000000000000002e-02,4.7000000000000000e-02
221,"NORTH HAVEN",0,"Town of North Haven OPEB Plan",0,1,0,0,0,0,0,,0,937,1,,,"2017-07-01 00:00:00",67792858,0,,3.5799999999999998e-02,,1,,,0,1,1,0,,,0,0,7.0000000000000007e-02,4.4999999999999998e-02
222,"OXFORD",0,"Town of Oxford OPEB Plan",0,1,0,0,0,0,0,,0,309,1,,,"2017-07-01 00:00:00",2998925,0,,2.9800000000000000e-02,,1,22274595,,0,1,1,0,,,0,0,,
223,"PLYMOUTH",0,"Town of Plymouth OPEB Plan",0,1,0,0,0,0,0,,0,330,1,,,"2016-07-01 00:00:00",18130527,0,6.2500000000000000e-02,3.8699999999999998e-02,,0,14782465,,0,1,0,0,,,0,0,5.2000000000000005e-02,4.5999999999999999e-02
224,"POMFRET",0,"Town of Pomfret Public Schools OPEB Program",0,0,0,0,0,1,0,,0,44,1,,,"2018-06-30 00:00:00",5273256,0,,3.5000000000000003e-02,,1,,,0,1,0,0,,,0,1,,
225,"PRESTON",0,"Town of Preston OPEB Plan - Public Schools",0,0,0,0,0,1,0,,0,41,1,,,"2018-06-30 00:00:00",464684,0,,4.3499999999999997e-02,,1,,,0,1,0,0,,,0,1,8.9999999999999997e-02,5.0000000000000003e-02
226,"RIDGEFIELD",0,"Town of Ridgefield OPEB Plan",0,1,0,0,0,0,0,,0,985,0,1979000,2422087,"2017-07-01 00:00:00",28394035,4569473,6.7500000000000004e-02,6.7500000000000004e-02,2.2499999999999999e-02,0,63227000,,1,1,0,0,,,0,0,7.4999999999999997e-02,
227,"ROCKY HILL",0,"Town of Rocky Hill OPEB Plan - Town",0,1,0,0,0,0,0,,0,181,0,1256429,651411,"2016-07-01 00:00:00",22377825,1789372,4.1299999999999996e-02,4.1299999999999996e-02,9.2499999999999999e-02,1,10233690,,1,1,0,0,,,0,0,7.7499999999999999e-02,5.0000000000000003e-02
228,"ROCKY HILL",0,"Town of Rocky Hill OPEB Plan - Board of Education",0,0,0,0,0,1,1,,0,331,1,139217,36302,"2016-07-01 00:00:00",892009,0,3.8699999999999998e-02,3.8699999999999998e-02,,0,,,1,1,0,0,,,0,0,,
229,"ROXBURY",0,"Town of Roxbury Post Retirement Health Plan",0,1,0,0,0,0,0,,0,4,1,,,"2018-07-01 00:00:00",278832,0,,2.0000000000000000e-02,,1,,,0,1,0,0,,,0,0,,
230,"SALEM",0,"Town of Salem Public Schools OPEB Program",0,0,0,0,0,1,0,,0,45,1,,,"2018-06-30 00:00:00",426941,0,,3.6200000000000003e-02,,1,,,0,1,0,0,,,0,1,4.5999999999999999e-02,4.8000000000000001e-02
231,"SCOTLAND",0,"Town of Scotland Board of Education OPEB Plan",0,0,0,0,0,1,1,,0,,1,,,"2018-06-30 00:00:00",97473,0,,3.9399999999999998e-02,,0,,,0,1,0,0,,"Pg. Healthcare Trend pg. 40",0,1,,
232,"SEYMOUR",0,"Town of Seymour Medical Benefit Plan",0,1,0,0,0,0,0,,0,377,1,,,"2017-07-01 00:00:00",41661281,0,3.5799999999999998e-02,3.8699999999999998e-02,,1,19085936,,0,1,1,0,,,0,0,7.6900000000000010e-02,4.4000000000000004e-02
233,"SIMSBURY",0,"Town of Simsbury OPEB Plan",0,1,0,0,0,0,0,,0,962,0,1182000,1182000,"2017-07-01 00:00:00",21375101,15414275,7.0000000000000007e-02,7.0000000000000007e-02,7.5199999999999989e-02,0,45238019,,1,1,1,0,,,0,0,5.2800000000000000e-02,4.4000000000000004e-02
234,"SPRAGUE",0,"Sprague Public Schools OPEB Plan",0,0,0,0,0,1,0,,0,34,1,,,"2017-07-01 00:00:00",604903,0,3.8699999999999998e-02,3.8699999999999998e-02,,1,1927845,,0,1,0,0,,,0,0,7.4999999999999997e-02,4.5999999999999999e-02
235,"STAMFORD",0,"City of Stamford OPEB Plan",0,1,0,0,0,0,0,,0,4122,0,28439000,28439000,"2017-07-01 00:00:00",364157076,116316787,7.2000000000000008e-02,7.2000000000000008e-02,8.5099999999999995e-02,0,246682206,,1,1,0,0,,,0,0,7.0999999999999994e-02,4.5999999999999999e-02
236,"STRATFORD",0,"Stratford OBEP Plan",0,1,0,0,0,0,0,,0,2140,0,20679264,8477088,"2016-07-01 00:00:00",278438343,5022624,4.0000000000000001e-02,3.8699999999999998e-02,1.2830000000000000e-01,1,71200894,,1,1,1,0,,,0,0,5.2000000000000005e-02,4.5999999999999999e-02
237,"SUFFIELD",0,"Town of Suffield OPEB Plan",0,1,0,0,0,0,0,,0,475,0,1167634,1457479,"2016-07-01 00:00:00",18040641,11487915,7.0000000000000007e-02,7.0000000000000007e-02,6.7199999999999996e-02,1,27028027,,1,1,0,0,,,0,0,8.0000000000000002e-02,4.5999999999999999e-02
238,"THOMPSON",0,"Town of Thompson OPEB Plan",0,1,0,0,0,0,0,,0,193,1,,,"2018-06-30 00:00:00",2063968,0,4.2500000000000003e-02,3.8699999999999998e-02,,1,,,0,1,0,0,,,0,0,7.0000000000000007e-02,4.5999999999999999e-02
239,"TOLLAND",0,"Town of Tolland OPEB Plan",0,1,0,0,0,0,0,,0,332,0,437420,444283,"2016-07-01 00:00:00",4903663,1164041,5.9999999999999998e-02,5.9999999999999998e-02,4.0599999999999997e-02,1,16323734,,1,1,0,0,,"Pg. 66 Healthcare trend
Town: 5.2% to 4.3%
BOE: 5.3% to 4.4%",0,0,,
240,"TORRINGTON",0,"City of Torrington OPEB Plan",0,1,0,0,0,0,0,,0,1275,0,11455900,3767666,"2016-07-01 00:00:00",120802487,105902,3.5000000000000003e-02,3.8699999999999998e-02,7.1599999999999997e-02,1,56167900,,1,1,1,0,,,0,0,7.7499999999999999e-02,5.0000000000000003e-02
241,"WATERBURY",0,"City of Waterbury OPEB Plan",0,1,0,0,0,0,0,,0,5958,1,,,"2016-07-01 00:00:00",942807000,0,,3.8699999999999998e-02,,0,194159000,,0,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
242,"WATERTOWN",0,"Town of Watertown OPEB Plan",0,1,0,0,0,0,0,,0,706,1,,1906242,"2016-07-01 00:00:00",72981869,0,,3.2500000000000001e-02,,1,28286748,,1,1,1,0,,,0,0,5.0000000000000003e-02,5.0000000000000003e-02
243,"WEST HAVEN",0,"City of West Haven OPEB Plan",0,1,0,0,0,0,0,,0,1565,1,,,"2017-07-01 00:00:00",183170127,0,,3.8699999999999998e-02,,1,,,0,1,1,0,,,0,0,5.5700000000000000e-02,4.4000000000000004e-02
244,"WEST HAVEN",0,"City of West Haven Allingtown Fire District Plan",0,0,0,0,1,0,0,,0,72,1,,,"2017-07-01 00:00:00",25312009,0,,3.8699999999999998e-02,,1,,,0,1,1,0,,,0,0,6.7000000000000004e-02,4.5999999999999999e-02
245,"WESTON",0,"Town of Weston OPEB Plan",0,1,0,0,0,0,0,,0,524,0,783000,394488,"2017-07-01 00:00:00",10479379,8742445,6.5000000000000002e-02,6.5000000000000002e-02,7.4299999999999991e-02,1,33693000,,1,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
246,"WILTON",0,"Town of Wilton OPEB Plan",0,1,0,0,0,0,0,,0,810,0,326632,391959,"2017-07-01 00:00:00",6922254,7475677,5.7500000000000002e-02,5.7500000000000002e-02,6.8000000000000005e-02,1,58322390,,1,1,1,0,,,0,0,7.5999999999999998e-02,4.5999999999999999e-02
