"Town","Gross Residential Grand List","Gross Commercial Grand List","Gross Industrial Grand List","Total Gross Grand List","Year"
"Brookfield","1305788680","183102890","90518820",1847940400,"SFY 2006-2007"
"Brooklyn","354610240","27752630","3777050",482458432,"SFY 2006-2007"
"Burlington","620371910","10760610","2694790",751968432,"SFY 2006-2007"
"Canaan","70004300","4431490","2612900",118667580,"SFY 2006-2007"
"Canterbury","271883400","7479264","2173600",340854231,"SFY 2006-2007"
"Canton","658097280","104401300","5956890",892462383,"SFY 2006-2007"
"Chaplin","91333700","7169800","0",125624230,"SFY 2006-2007"
"Cheshire","1865753030","145503880","150041930",2515540914,"SFY 2006-2007"
"Chester","289733800","50511000","16066200",420889630,"SFY 2006-2007"
"Clinton","1271837589","149804159","31186500",1644926055,"SFY 2006-2007"
"Colchester","614435310","62641870","8637100",866314163,"SFY 2006-2007"
"Colebrook","153681700","1353350","750500",183435331,"SFY 2006-2007"
"Columbia","275958420","13571100","3604300",354669746,"SFY 2006-2007"
"Cornwall","168269480","5870780","0",244402970,"SFY 2006-2007"
"Coventry","680169610","18732770","3089440",825087350,"SFY 2006-2007"
"Cromwell","695240430","139939030","22686980",1031941470,"SFY 2006-2007"
"Danbury","3727615600","1145300700","321574700",6210479700,"SFY 2006-2007"
"Darien","5573419632","405913440","0",6407397435,"SFY 2006-2007"
"Deep River","403341260","26068910","10971100",509377911,"SFY 2006-2007"
"Derby","627336980","123651240","15255070",903978705,"SFY 2006-2007"
"Durham","525420840","16359161","11766440",748258240,"SFY 2006-2007"
"Eastford","73967545","4963280","1595510",104391586,"SFY 2006-2007"
"East Granby","306530700","15734700","59066700",494564480,"SFY 2006-2007"
"East Haddam","466731770","31933520","4191790",683294281,"SFY 2006-2007"
"East Hampton","873935560","37387270","10998100",1069892119,"SFY 2006-2007"
"East Hartford","1113873780","291708600","240194260",2454782740,"SFY 2006-2007"
"East Haven","888355930","123571480","32231310",1266345875,"SFY 2006-2007"
"East Lyme","1129338175","88555084","13440630",1419354688,"SFY 2006-2007"
"Easton","1117517460","25295090","907610",1241783111,"SFY 2006-2007"
"East Windsor","398117695","124023119","66816840",771970875,"SFY 2006-2007"
"Ellington","885387180","58271110","18124826",1147543559,"SFY 2006-2007"
"Enfield","1211027904","314195180","126076170",2120136767,"SFY 2006-2007"
"Essex","787005800","101809000","32640400",1015293672,"SFY 2006-2007"
"Fairfield","9894210440","970016460","49803530",11706984446,"SFY 2006-2007"
"Farmington","1669721273","498791735","80258490",2718611370,"SFY 2006-2007"
"Franklin","100677230","26356185","6032710",178385733,"SFY 2006-2007"
"Glastonbury","2239357610","349429400","25082300",3042965840,"SFY 2006-2007"
"Goshen","341389830","9181780","295240",388774460,"SFY 2006-2007"
"Granby","618363380","32430720","3550050",826736600,"SFY 2006-2007"
"Greenwich","26217818340","4129290690","109671380",32864815996,"SFY 2006-2007"
"Griswold","351640104","28140366","7184590",500507688,"SFY 2006-2007"
"Groton","1343138250","282605406","474402360",2974569819,"SFY 2006-2007"
"Guilford","2114186722","137339410","22584720",2534815434,"SFY 2006-2007"
"Haddam","635809330","20913370","6172070",844124465,"SFY 2006-2007"
"Hamden","3119493832","402259021","59554360",4255669760,"SFY 2006-2007"
"Hampton","96443700","1530300","0",118861827,"SFY 2006-2007"
"Hartford","910348268","1258172258","75764620",3575226148,"SFY 2006-2007"
"Hartland","145549290","638720","0",190946400,"SFY 2006-2007"
"Harwinton","369425660","9031640","2278770",467732985,"SFY 2006-2007"
"Hebron","492385570","17829870","702270",604736127,"SFY 2006-2007"
"Kent","355868400","35459310","0",468352241,"SFY 2006-2007"
"Killingly","454798495","68094508","160376040",1195484358,"SFY 2006-2007"
"Killingworth","492082060","14551430","981460",582298175,"SFY 2006-2007"
"Lebanon","379326400","12592660","2733520",490352654,"SFY 2006-2007"
"Ledyard","899249499","41725077","9916830",1148253399,"SFY 2006-2007"
"Lisbon","160103980","45293970","1807660",278752575,"SFY 2006-2007"
"Litchfield","689892130","77342172","4881160",875726078,"SFY 2006-2007"
"Lyme","457949647","3524600","0",509200824,"SFY 2006-2007"
"Madison","2109562390","119209810","2465300",2442634119,"SFY 2006-2007"
"Manchester","1487032610","544581200","169242620",3019515988,"SFY 2006-2007"
"Mansfield","670168950","72128240","1288070",889411562,"SFY 2006-2007"
"Marlborough","520241840","28447160","2185960",608596851,"SFY 2006-2007"
"Meriden","1395513090","423332220","78727670",2561230945,"SFY 2006-2007"
"Middlebury","514000083","86335901","8969675",719448910,"SFY 2006-2007"
"Middlefield","231267000","14333610","12611300",327362640,"SFY 2006-2007"
"Middletown","1385751765","322234318","86300050",2688640533,"SFY 2006-2007"
"Milford","2469876064","424197750","139242880",3908048307,"SFY 2006-2007"
"Monroe","1645512158","120099900","29935960",2084807070,"SFY 2006-2007"
"Montville","627065750","78083410","26539060",1045046444,"SFY 2006-2007"
"Morris","279299500","8424440","1574000",333956250,"SFY 2006-2007"
"Naugatuck","986529940","98457740","58627230",1450319830,"SFY 2006-2007"
"New Britain","1220340920","245035570","71934920",2131381628,"SFY 2006-2007"
"New Canaan","6085926100","331178500","4872600",6816376095,"SFY 2006-2007"
"New Fairfield","1653399760","31879000","2159900",1818168483,"SFY 2006-2007"
"New Hartford","440661860","22108290","8395730",564948734,"SFY 2006-2007"
"New Haven","1819398620","1292460160","231858830",4192456244,"SFY 2006-2007"
"Newington","1697197790","373245830","91729040",2610643693,"SFY 2006-2007"
"New London","698866192","360269789","107590140",1374060887,"SFY 2006-2007"
"New Milford","2167567490","242884190","104461700",3024528130,"SFY 2006-2007"
"Newtown","2468458950","141826080","62180230",3010972721,"SFY 2006-2007"
"Norfolk","143240460","7139320","0",205867364,"SFY 2006-2007"
"North Branford","991126359","76030840","35203700",1270375458,"SFY 2006-2007"
"North Canaan","115269290","27072770","21233980",263124180,"SFY 2006-2007"
"North Haven","1871329564","336107989","232128180",2927158140,"SFY 2006-2007"
"North Stonington","429118550","48307700","6589660",596612976,"SFY 2006-2007"
"Norwalk","7133970673","1780613819","223880580",10529937239,"SFY 2006-2007"
"Norwich","1066155100","263986000","62650000",1811587796,"SFY 2006-2007"
"Old Lyme","1291286835","66946285","591500",1483033690,"SFY 2006-2007"
"Old Saybrook","1520604800","187970000","16578700",1916405495,"SFY 2006-2007"
"Orange","883997800","285365700","69506000",1455487631,"SFY 2006-2007"
"Oxford","1074491590","34101690","27345070",1282949115,"SFY 2006-2007"
"Plainfield","424079440","61129090","72416620",743201370,"SFY 2006-2007"
"Plainville","519454860","146634680","65965940",990488910,"SFY 2006-2007"
"Plymouth","386554570","22969710","19309470",560669955,"SFY 2006-2007"
"Pomfret","263620430","11365766","9464100",337070177,"SFY 2006-2007"
"Portland","399027510","48201850","11638060",567194310,"SFY 2006-2007"
"Preston","218523700","12990400","1751400",292985748,"SFY 2006-2007"
"Prospect","641755365","35593110","11917692",786684971,"SFY 2006-2007"
"Putnam","280098100","66345300","37868300",506269840,"SFY 2006-2007"
"Redding","1248907990","69575190","4302320",1514658998,"SFY 2006-2007"
"Ridgefield","3437062407","215784490","139198735",4182835402,"SFY 2006-2007"
"Rocky Hill","945907420","256333173","78617860",1615870881,"SFY 2006-2007"
"Roxbury","456732750","2494100","0",495696430,"SFY 2006-2007"
"Salem","215288790","11759340","1041890",281129441,"SFY 2006-2007"
"Salisbury","803595780","51839160","1390260",1147087150,"SFY 2006-2007"
"Scotland","78066080","1153920","0",96178919,"SFY 2006-2007"
"Seymour","1008657510","74550120","40015570",1336782059,"SFY 2006-2007"
"Sharon","432245870","25831900","0",534151079,"SFY 2006-2007"
"Shelton","2225797510","454592950","138502260",3433859830,"SFY 2006-2007"
"Sherman","538739497","5163830","0",658076818,"SFY 2006-2007"
"Simsbury","1471621890","204382443","9603305",2002856513,"SFY 2006-2007"
"Somers","616664895","20969110","6322760",740830217,"SFY 2006-2007"
"Southbury","1490051610","231324230","8925960",2049065268,"SFY 2006-2007"
"Southington","2798695238","388066490","107691850",3910188146,"SFY 2006-2007"
"South Windsor","1395235911","181471500","179651740",2118513845,"SFY 2006-2007"
"Sprague","118325652","19676300","0",207123432,"SFY 2006-2007"
"Stafford","552467050","40898860","18321620",803320150,"SFY 2006-2007"
"Stamford","6344567060","2399642690","376683860",11327695191,"SFY 2006-2007"
"Sterling","115002150","3407740","7462720",180717206,"SFY 2006-2007"
"Stonington","1505670490","293830020","22351500",2125551466,"SFY 2006-2007"
"Stratford","3307865590","366409550","265640340",4623189123,"SFY 2006-2007"
"Suffield","853893110","39541670","35115770",1092220728,"SFY 2006-2007"
"Thomaston","240869677","27292935","24457390",411725650,"SFY 2006-2007"
"Thompson","468506600","14330500","7338500",652809658,"SFY 2006-2007"
"Tolland","974195800","48119100","19773400",1191789160,"SFY 2006-2007"
"Torrington","1255827900","207962740","70381400",1934113500,"SFY 2006-2007"
"Trumbull","3847308750","456782600","147006400",5012861072,"SFY 2006-2007"
"Union","51620020","2362160","176800",70652006,"SFY 2006-2007"
"Vernon","774146918","164363055","19984070",1324559703,"SFY 2006-2007"
"Voluntown","172051230","4575170","47180",218420442,"SFY 2006-2007"
"Wallingford","2715574040","540034683","219586882",4241712011,"SFY 2006-2007"
"Warren","160485190","3696270","0",205452580,"SFY 2006-2007"
"Washington","720071490","31422690","450630",952226230,"SFY 2006-2007"
"Waterbury","1910724692","681842507","135398048",3555720311,"SFY 2006-2007"
"Waterford","1156643740","297478850","35520050",2709168230,"SFY 2006-2007"
"Watertown","1195347100","80636110","104118640",1675877700,"SFY 2006-2007"
"Westbrook","572260540","84401070","26796854",822100148,"SFY 2006-2007"
"West Hartford","2583385580","461365210","63636610",3747580380,"SFY 2006-2007"
"West Haven","2203467645","216982942","158889640",3116346244,"SFY 2006-2007"
"Weston","2237562190","17556810","0",2458328958,"SFY 2006-2007"
"Westport","8356731869","1352270400","11316700",10333795667,"SFY 2006-2007"
"Wethersfield","1529447200","173405700","16229100",2007217800,"SFY 2006-2007"
"Willington","225439145","47411925","3749930",388862825,"SFY 2006-2007"
"Wilton","2958242370","439585230","0",3785773484,"SFY 2006-2007"
"Winchester","390080310","47218640","15778070",594025097,"SFY 2006-2007"
"Windham","513856625","123178940","34769630",923084555,"SFY 2006-2007"
"Windsor","1290050440","325264320","200407830",2363900756,"SFY 2006-2007"
"Windsor Locks","513342240","126765400","139946000",1188326337,"SFY 2006-2007"
"Wolcott","695394170","45328450","25478670",926299199,"SFY 2006-2007"
"Woodbridge","1002241910","57746500","11588950",1192053570,"SFY 2006-2007"
"Woodbury","831604230","47164690","14689640",1022444302,"SFY 2006-2007"
"Woodstock","614896730","26658100","9109300",763025508,"SFY 2006-2007"
"Andover","226633050","5071900","902600",264530195,"SFY 2007-2008"
"Ansonia","605902200","58767100","14721100",783494926,"SFY 2007-2008"
"Ashford","188847800","8309350","966030",238169687,"SFY 2007-2008"
"Avon","1714812170","222005250","27698530",2166748570,"SFY 2007-2008"
"Barkhamsted","218989970","13743740","2234070",291317500,"SFY 2007-2008"
"Beacon Falls","389482030","21813170","24581530",496463989,"SFY 2007-2008"
"Berlin","1053146890","188795000","100164700",1589290750,"SFY 2007-2008"
"Bethany","444994250","16549818","7971320",521020994,"SFY 2007-2008"
"Bethel","1158804770","162479220","61377430",1574894830,"SFY 2007-2008"
"Bethlehem","302154210","7707960","4483510",352755367,"SFY 2007-2008"
"Bloomfield","944930952","263299700","107607860",1594165045,"SFY 2007-2008"
"Bolton","319546540","15768060","5368230",389522230,"SFY 2007-2008"
"Bozrah","109319370","7770160","19148050",167533560,"SFY 2007-2008"
"Branford","2497052540","328776060","96198230",3211199100,"SFY 2007-2008"
"Bridgeport","3230521231","756675085","180877909",4938381008,"SFY 2007-2008"
"Bridgewater","355383422","2979600","799500",404039662,"SFY 2007-2008"
"Bristol","1877559960","284300690","176707720",2945496760,"SFY 2007-2008"
"Brookfield","1898312280","257801260","106291030",2474767632,"SFY 2007-2008"
"Brooklyn","370321260","28408540","3766620",485578479,"SFY 2007-2008"
"Burlington","630710680","11470130","2506420",755751467,"SFY 2007-2008"
"Canaan","88935900","4704400","2612900",116441065,"SFY 2007-2008"
"Canterbury","278387400","8055064","2303800",342511805,"SFY 2007-2008"
"Canton","682784540","102293390","5956890",877339748,"SFY 2007-2008"
"Chaplin","92513500","7363500","0",119839940,"SFY 2007-2008"
"Cheshire","1888463730","147554590","151038650",2449463290,"SFY 2007-2008"
"Chester","296185250","51227800","16269700",411661018,"SFY 2007-2008"
"Clinton","1288115835","149875273","31421500",1594827000,"SFY 2007-2008"
"Colchester","929628330","86831100","10723800",1191674511,"SFY 2007-2008"
"Colebrook","154450000","1266450","750500",180876340,"SFY 2007-2008"
"Columbia","432582530","13787300","7780100",508475422,"SFY 2007-2008"
"Cornwall","307354200","10272960","0",437566440,"SFY 2007-2008"
"Coventry","700571810","18325600","3089440",826565720,"SFY 2007-2008"
"Cromwell","709300840","141068521","23412580",993490877,"SFY 2007-2008"
"Danbury","3789927800","1160245310","333599810",5991352050,"SFY 2007-2008"
"Darien","5668729420","402720360","0",6430211115,"SFY 2007-2008"
"Deep River","406747810","26163200","11309760",497069297,"SFY 2007-2008"
"Derby","631067840","122013170","15007200",868689529,"SFY 2007-2008"
"Durham","542289023","18716110","12648300",742779788,"SFY 2007-2008"
"Eastford","76005870","5068070","1588510",102088416,"SFY 2007-2008"
"East Granby","313621000","16064500","59435400",463805542,"SFY 2007-2008"
"East Haddam","487648100","32741350","4236360",689401056,"SFY 2007-2008"
"East Hampton","891891020","41585360","10712980",1076487196,"SFY 2007-2008"
"East Hartford","1850994240","367800150","260119550",2968228228,"SFY 2007-2008"
"East Haven","1727671510","217492470","47326130",2208566916,"SFY 2007-2008"
"East Lyme","1856220651","130220581","18388510",2222916834,"SFY 2007-2008"
"Easton","1524747580","35282620","282600",1649465456,"SFY 2007-2008"
"East Windsor","417959005","124642545","65931680",730771834,"SFY 2007-2008"
"Ellington","918648490","65536390","17995166",1165358579,"SFY 2007-2008"
"Enfield","2090279090","479411860","138066110",3042915040,"SFY 2007-2008"
"Essex","792383200","103793300","31893100",994363871,"SFY 2007-2008"
"Fairfield","10005595350","983222090","49830480",11653436811,"SFY 2007-2008"
"Farmington","1695306473","500561335","79856860",2570723864,"SFY 2007-2008"
"Franklin","101848990","26162765","5506480",163798795,"SFY 2007-2008"
"Glastonbury","2280737860","361561400","25294300",2989600070,"SFY 2007-2008"
"Goshen","349045910","9052180","295240",389928238,"SFY 2007-2008"
"Granby","629252060","33096840","4199650",824321900,"SFY 2007-2008"
"Greenwich","26611543260","4190481680","93554230",32784362562,"SFY 2007-2008"
"Griswold","631966615","36488161","6119330",789400869,"SFY 2007-2008"
"Groton","2317115740","430796657","578134410",3951786532,"SFY 2007-2008"
"Guilford","2143284455","140955680","22584720",2503272337,"SFY 2007-2008"
"Haddam","658174320","22008940","6428890",810429490,"SFY 2007-2008"
"Hamden","3155965682","414699340","60481490",4186995305,"SFY 2007-2008"
"Hampton","98498100","1743621","0",119141276,"SFY 2007-2008"
"Hartford","645476596","1286113843","79547374",2695566663,"SFY 2007-2008"
"Hartland","147319750","638720","0",188373670,"SFY 2007-2008"
"Harwinton","380738040","9176270","2778170",465107602,"SFY 2007-2008"
"Hebron","727687850","24447670","874190",835811780,"SFY 2007-2008"
"Kent","365096400","34010310","0",462265660,"SFY 2007-2008"
"Killingly","473636185","68451098","160652760",1124986959,"SFY 2007-2008"
"Killingworth","702843110","20622500","1687800",790609777,"SFY 2007-2008"
"Lebanon","386385980","12460470","2721360",481023611,"SFY 2007-2008"
"Ledyard","921209096","50213636","9769200",1140464817,"SFY 2007-2008"
"Lisbon","256904120","63528940","2319750",388961530,"SFY 2007-2008"
"Litchfield","699367894","77567340","4945810",865315806,"SFY 2007-2008"
"Lyme","463698868","3658300","0",511219951,"SFY 2007-2008"
"Madison","2132481590","116784100","2465300",2422579000,"SFY 2007-2008"
"Manchester","2430202720","805688100","211947826",4082484528,"SFY 2007-2008"
"Mansfield","689970600","72651980","1288070",878106057,"SFY 2007-2008"
"Marlborough","528168810","29395030","2410660",608410926,"SFY 2007-2008"
"Meriden","2381691590","559698790","163422410",3611296890,"SFY 2007-2008"
"Middlebury","780217900","110140397","9067100",1012279099,"SFY 2007-2008"
"Middlefield","354895400","17951500","16460900",434675618,"SFY 2007-2008"
"Middletown","1410091132","326570098","88221770",2352274843,"SFY 2007-2008"
"Milford","5122523999","745062278","247864780",6997377992,"SFY 2007-2008"
"Monroe","1658799495","121000635","31760810",2039431910,"SFY 2007-2008"
"Montville","1043965914","111837270","30896180",1351995209,"SFY 2007-2008"
"Morris","308018690","8575810","1574000",360159770,"SFY 2007-2008"
"Naugatuck","1006926950","98760700","59231280",1401194020,"SFY 2007-2008"
"New Britain","1226992670","248551990","74380910",1994830130,"SFY 2007-2008"
"New Canaan","6226648200","332995500","4872600",6906462950,"SFY 2007-2008"
"New Fairfield","1666134110","33241500","2159900",1814332668,"SFY 2007-2008"
"New Hartford","448365600","22138060","8206800",556881404,"SFY 2007-2008"
"New Haven","3411397150","1878797550","279538630",6037747732,"SFY 2007-2008"
"Newington","1716024370","372301530","91646300",2499140175,"SFY 2007-2008"
"New London","708427820","362032389","107242310",1305926905,"SFY 2007-2008"
"New Milford","2198062290","251030160","109679920",2938272170,"SFY 2007-2008"
"Newtown","2505840460","152212600","58110700",2978093844,"SFY 2007-2008"
"Norfolk","144927800","7064360","0",203091998,"SFY 2007-2008"
"North Branford","996787546","76810563","35594440",1253461550,"SFY 2007-2008"
"North Canaan","115769160","30189620","21544790",232276580,"SFY 2007-2008"
"North Haven","1883033574","338554916","231994540",2786599868,"SFY 2007-2008"
"North Stonington","437972290","50095010","6589660",582448270,"SFY 2007-2008"
"Norwalk","7226926521","1806941870","216861680",10177256679,"SFY 2007-2008"
"Norwich","1086504700","276397000","59823000",1759203918,"SFY 2007-2008"
"Old Lyme","1298858205","67130115","591500",1468747837,"SFY 2007-2008"
"Old Saybrook","1547867200","193379200","16635700",1892743869,"SFY 2007-2008"
"Orange","1470243900","357327100","87900900",2083344577,"SFY 2007-2008"
"Oxford","1125711405","34834770","28704460",1306702450,"SFY 2007-2008"
"Plainfield","430826880","62597450","72648640",717594880,"SFY 2007-2008"
"Plainville","866770810","184288180","74155860",1322275590,"SFY 2007-2008"
"Plymouth","604363560","32588580","25413800",790772114,"SFY 2007-2008"
"Pomfret","268778130","11591466","9464100",334064821,"SFY 2007-2008"
"Portland","632505930","62848670","14724570",808102384,"SFY 2007-2008"
"Preston","223470700","12707800","1751400",284453780,"SFY 2007-2008"
"Prospect","646086605","35724870","12053252",774098019,"SFY 2007-2008"
"Putnam","288130200","70800600","37797500",478579860,"SFY 2007-2008"
"Redding","1264333750","77423922","8925000",1517303851,"SFY 2007-2008"
"Ridgefield","3473962706","232574445","136938975",4125802776,"SFY 2007-2008"
"Rocky Hill","965311480","257599070","78811060",1554981247,"SFY 2007-2008"
"Roxbury","472159330","2494100","0",506210730,"SFY 2007-2008"
"Salem","347927130","19311960","1324730",414081701,"SFY 2007-2008"
"Salisbury","816295180","52389010","1390260",1144517518,"SFY 2007-2008"
"Scotland","79382680","1153920","0",95572130,"SFY 2007-2008"
"Seymour","1034832050","74794270","39572330",1318958882,"SFY 2007-2008"
"Sharon","441908470","25056340","0",527092692,"SFY 2007-2008"
"Shelton","3555778420","589365530","180091060",4727308470,"SFY 2007-2008"
"Sherman","547265672","5322400","0",659050434,"SFY 2007-2008"
"Simsbury","1496698195","203836152","10072335",1912547594,"SFY 2007-2008"
"Somers","625568825","21337830","6340570",737533033,"SFY 2007-2008"
"Southbury","1512003660","233810380","8980280",1943567369,"SFY 2007-2008"
"Southington","2831177856","400728524","105528019",3800993226,"SFY 2007-2008"
"South Windsor","1408932623","190492940","183934870",2048837694,"SFY 2007-2008"
"Sprague","119235700","20052010","0",180084412,"SFY 2007-2008"
"Stafford","560381390","41138250","17691010",775620285,"SFY 2007-2008"
"Stamford","13721296030","3871706670","726011530",20309455469,"SFY 2007-2008"
"Sterling","122754720","3532450","7462720",171576100,"SFY 2007-2008"
"Stonington","1548663250","295941080","22104600",2081690426,"SFY 2007-2008"
"Stratford","3323193180","365185670","263495820",4407942968,"SFY 2007-2008"
"Suffield","874368040","41370910","35935400",1068032811,"SFY 2007-2008"
"Thomaston","444469400","34716280","36782940",596628731,"SFY 2007-2008"
"Thompson","474173370","14465400","7331600",644662577,"SFY 2007-2008"
"Tolland","988964030","49782400","21561600",1181634013,"SFY 2007-2008"
"Torrington","1273928200","211756870","70785000",1837690632,"SFY 2007-2008"
"Trumbull","3861937158","477738500","148365800",4846992992,"SFY 2007-2008"
"Union","53811910","2362160","224410",70789440,"SFY 2007-2008"
"Vernon","851061321","185141410","18277420",1352040166,"SFY 2007-2008"
"Voluntown","171932390","4570220","47180",218584303,"SFY 2007-2008"
"Wallingford","2749493143","555246350","222946740",3987653506,"SFY 2007-2008"
"Warren","173777730","3696280","0",207163024,"SFY 2007-2008"
"Washington","735537500","31829690","450630",952143800,"SFY 2007-2008"
"Waterbury","1926572705","723915718","134496148",3371353116,"SFY 2007-2008"
"Waterford","1167063100","687573510","107846120",2156728462,"SFY 2007-2008"
"Watertown","1217554500","81575800","103582800",1613667459,"SFY 2007-2008"
"Westbrook","1014511133","119173610","32347250",1289481882,"SFY 2007-2008"
"West Hartford","4560264800","688204600","67699500",5876364150,"SFY 2007-2008"
"West Haven","2210970895","219046068","158866330",3016337183,"SFY 2007-2008"
"Weston","2292611150","17556110","0",2497871149,"SFY 2007-2008"
"Westport","8410220950","1359991480","11316600",10274162931,"SFY 2007-2008"
"Wethersfield","1533738900","179103690","15945000",1948350370,"SFY 2007-2008"
"Willington","229645000","48735090","3749930",380777943,"SFY 2007-2008"
"Wilton","3000505430","435575180","0",3693454180,"SFY 2007-2008"
"Winchester","395335935","48007470","15686790",570791257,"SFY 2007-2008"
"Windham","522447195","124746085","36662320",887063512,"SFY 2007-2008"
"Windsor","1312361050","336602290","214529070",2144626399,"SFY 2007-2008"
"Windsor Locks","526099240","131757800","147095300",1062143036,"SFY 2007-2008"
"Wolcott","1101143160","46304810","30267910",1322993547,"SFY 2007-2008"
"Woodbridge","1011998890","57769180","11585520",1183092000,"SFY 2007-2008"
"Woodbury","851664390","53286600","10300440",1026935925,"SFY 2007-2008"
"Woodstock","631172130","26619580","8974900",766369273,"SFY 2007-2008"
"Andover","228159450","5096000","902600",268269160,"SFY 2008-2009"
"Ansonia","897498100","108301700","18857000",1135736224,"SFY 2008-2009"
"Ashford","263686950","25043800","0",334583567,"SFY 2008-2009"
"Avon","1741890990","223501370","27534600",2190637540,"SFY 2008-2009"
"Barkhamsted","221776320","13780880","2234070",295651968,"SFY 2008-2009"
"Beacon Falls","406164100","10414670","31965740",507049018,"SFY 2008-2009"
"Berlin","1466233250","258266980","129852100",2115886620,"SFY 2008-2009"
"Bethany","449343930","17050608","13544960",534525253,"SFY 2008-2009"
"Bethel","1627098530","229935080","89021640",2175957190,"SFY 2008-2009"
"Bethlehem","305870310","7707820","4490130",356618568,"SFY 2008-2009"
"Bloomfield","972760320","268041959","110362140",1623744850,"SFY 2008-2009"
"Bolton","326847200","15840300","5368230",396319640,"SFY 2008-2009"
"Bozrah","162025110","10644700","21338780",239273910,"SFY 2008-2009"
"Branford","2510224620","321469800","102980180",3230429553,"SFY 2008-2009"
"Bridgeport","3258061426","745145525","171006810",4964223854,"SFY 2008-2009"
"Bridgewater","358949922","2979600","799500",407619675,"SFY 2008-2009"
"Bristol","2810035010","443956890","235464770",4162345300,"SFY 2008-2009"
"Brookfield","1924552670","254964130","109322830",2498045302,"SFY 2008-2009"
"Brooklyn","377789030","27471940","3766620",495176957,"SFY 2008-2009"
"Burlington","639929430","11516330","2597910",768349611,"SFY 2008-2009"
"Canaan","120394200","4713000","10459300",179681330,"SFY 2008-2009"
"Canterbury","283415500","8055064","2843100",349529188,"SFY 2008-2009"
"Canton","698524530","102868970","5956890",896292770,"SFY 2008-2009"
"Chaplin","93883800","7548770","0",120849432,"SFY 2008-2009"
"Cheshire","1906275930","147475760","156160590",2472805999,"SFY 2008-2009"
"Chester","303196750","51397700","16420750",421706531,"SFY 2008-2009"
"Clinton","1296675860","150761648","31737200",1610016908,"SFY 2008-2009"
"Colchester","947066930","86837400","10680000",1217410731,"SFY 2008-2009"
"Colebrook","154075500","1416600","660200",180519550,"SFY 2008-2009"
"Columbia","438411640","13832700","7809100",515121462,"SFY 2008-2009"
"Cornwall","309109560","10151500","0",441859120,"SFY 2008-2009"
"Coventry","713475000","19680150","3105790",842496000,"SFY 2008-2009"
"Cromwell","941700255","200349460","32035649",1290128493,"SFY 2008-2009"
"Danbury","5274530900","1688728600","413563900",8237138615,"SFY 2008-2009"
"Darien","5742434250","414288720","0",6528977835,"SFY 2008-2009"
"Deep River","409068800","26978840","13250650",502951341,"SFY 2008-2009"
"Derby","634023360","124698660","14585550",874372012,"SFY 2008-2009"
"Durham","554304820","19480040","13724480",754803390,"SFY 2008-2009"
"Eastford","124600680","7302400","2202080",157106416,"SFY 2008-2009"
"East Granby","321141700","16102700","59431700",476945341,"SFY 2008-2009"
"East Haddam","809739367","40494740","8248070",964809712,"SFY 2008-2009"
"East Hampton","912415700","44673500","10690960",1105145066,"SFY 2008-2009"
"East Hartford","1862038590","371369750","301921790",3050494205,"SFY 2008-2009"
"East Haven","1725522900","224123144","47745050",2216407799,"SFY 2008-2009"
"East Lyme","1883721481","131097053","16773890",2251124709,"SFY 2008-2009"
"Easton","1528112370","38306620","282600",1655395042,"SFY 2008-2009"
"East Windsor","594643930","181593070","78634880",1020982366,"SFY 2008-2009"
"Ellington","948243890","67740130","18161156",1206400864,"SFY 2008-2009"
"Enfield","2099257340","483222780","137912320",3037394238,"SFY 2008-2009"
"Essex","798827950","105147000","33834700",1006386290,"SFY 2008-2009"
"Fairfield","10099807310","973053470","50159830",11741035147,"SFY 2008-2009"
"Farmington","2400289987","736957456","37616880",3507194233,"SFY 2008-2009"
"Franklin","102970290","26404750","5506480",165829195,"SFY 2008-2009"
"Glastonbury","3111686920","455137100","72124300",3968705162,"SFY 2008-2009"
"Goshen","490439530","19133490","2683500",592483240,"SFY 2008-2009"
"Granby","810369180","40130860","3919860",1031913280,"SFY 2008-2009"
"Greenwich","27066199580","4241487250","93304820",33277981201,"SFY 2008-2009"
"Griswold","645670830","36166552","6160770",801605813,"SFY 2008-2009"
"Groton","2340537090","426943160","578772670",3969936170,"SFY 2008-2009"
"Guilford","2957693011","255627750","0",3417505361,"SFY 2008-2009"
"Haddam","673199910","23206770","6428890",833090636,"SFY 2008-2009"
"Hamden","3169188122","420104000","70863060",4222217107,"SFY 2008-2009"
"Hampton","100456600","1783121","0",121740796,"SFY 2008-2009"
"Hartford","1046164590","1482060639","93028569",3521191092,"SFY 2008-2009"
"Hartland","149353710","638720","0",190082730,"SFY 2008-2009"
"Harwinton","380969700","9113720","2584830",467829748,"SFY 2008-2009"
"Hebron","736825440","22458690","800520",846168267,"SFY 2008-2009"
"Kent","371402300","34588500","0",470161090,"SFY 2008-2009"
"Killingly","775282221","106100040","81158700",1561784295,"SFY 2008-2009"
"Killingworth","712711070","20627260","1712950",802116465,"SFY 2008-2009"
"Lebanon","391414950","12358560","2743130",492809866,"SFY 2008-2009"
"Ledyard","930225377","51562956","9753660",1145428469,"SFY 2008-2009"
"Lisbon","260834630","63994010","2319750",392900110,"SFY 2008-2009"
"Litchfield","712784043","80309790","3833930",880403870,"SFY 2008-2009"
"Lyme","467693768","3678800","0",514515290,"SFY 2008-2009"
"Madison","3034875700","164478000","3171300",3377677478,"SFY 2008-2009"
"Manchester","2445730920","804232372","209311226",4105319882,"SFY 2008-2009"
