Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2004 Population,Moody's_Bond_Ratings_July_2004,area lmt,ACGLFY04,EGL,TANF04 Recipients,empl,ACMR,enrollmt,RPA Identifier
"DARIEN","JG",2.0040000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",59624269.0000,20805120.0000,80429389.0000,6496256.0000,4162409.0000,68132134.0000,76793471.0000,51061968.0000,6457058.0000,74780079.0000,574567.0000,9884567.0000,2734070.0000,11887657.0000,-146111.0000,-493874.0000,10302.0000,0.0000,,70875658.0000,70875658.0000,269504.0000,800000.0000,7467830.0000,7198326.0000,,,67767842.0000,67414113.0000,9.9478028236460592e-01,68553627.0000,67690704.0000,9.8741243844034687e-01,2.0547000000000000e+04,"Aaa",1.2859999999999999e+01,4253116808.0000,9287337517.4336,4.0000000000000000e+00,3.1351472399507335e-02,1.6000000000000000e+01,4.2816700000000001e+03,"South Western RPA"
"DEEP RIVER","BP",2.0040000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",7039418.0000,1133860.0000,8173278.0000,1399680.0000,1899319.0000,9820934.0000,12578437.0000,7657137.0000,1289808.0000,12346563.0000,5756.0000,377014.0000,108300.0000,108300.0000,129330.0000,1014395.0000,500588.0000,0.0000,8550052.0000,2589046.0000,11139098.0000,0.0000,0.0000,1012793.0000,1012793.0000,8614608.0000,,9774066.0000,9543547.0000,9.7641524008534419e-01,10024703.0000,9678043.0000,9.6541942439591477e-01,4.7360000000000000e+03,"Baa1",1.3550000000000001e+01,361485226.0000,660473770.5217,1.7000000000000000e+01,3.9745627980922099e-02,2.7250000000000000e+01,6.8677999999999997e+02,"CT River Estuary RPA"
"DERBY","BP",2.0040000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",10619984.0000,391103.0000,11015472.0000,828880.0000,9592053.0000,18478131.0000,29329207.0000,14959322.0000,2066099.0000,30184252.0000,0.0000,4154090.0000,266000.0000,4239057.0000,-1121045.0000,1684374.0000,-940012.0000,0.0000,,14932228.0000,14932228.0000,0.0000,2530641.0000,4328228.0000,4328228.0000,4573469.0000,,17971437.0000,17580470.0000,9.7824508969427426e-01,18589086.0000,17932550.0000,9.6468164169018311e-01,1.2620000000000000e+04,"A2",4.9800000000000004e+00,548185634.0000,1054070676.2092,1.8900000000000000e+02,5.9601664684898928e-02,3.3200000000000003e+01,1.6342400000000000e+03,"Valley COG"
"DURHAM","BP",2.0040000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",41964660.0000,2939325.0000,44949019.0000,-368413.0000,4062382.0000,15687014.0000,20357177.0000,15266929.0000,920944.0000,21286246.0000,295450.0000,295450.0000,456177.0000,456177.0000,-1089796.0000,-291058.0000,-1089796.0000,0.0000,15498780.0000,1157023.0000,16655803.0000,0.0000,1485366.0000,1621304.0000,1621304.0000,520213.0000,,15515652.0000,15301264.0000,9.8618246916081898e-01,16025938.0000,15507472.0000,9.6764832111543175e-01,7.2060000000000000e+03,"A1",2.3600000000000001e+01,467544720.0000,866034599.1703,1.0000000000000000e+01,3.4346429453916479e-02,3.3500000000000000e+01,1.4279700000000000e+03,"Midstate RPA"
"EAST GRANBY","JG",2.0040000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",15411890.0000,3801228.0000,20506315.0000,517243.0000,2325735.0000,11575515.0000,14430257.0000,9500778.0000,1013908.0000,13613879.0000,80772.0000,80772.0000,360259.0000,360259.0000,536891.0000,305547.0000,536891.0000,0.0000,,4865000.0000,4865000.0000,533394.0000,0.0000,2088585.0000,1555191.0000,,,11521796.0000,11379398.0000,9.8764098930409805e-01,11709976.0000,11462227.0000,9.7884291137744428e-01,5.0180000000000000e+03,"A1",1.7480000000000000e+01,380476166.0000,653741034.0426,1.5000000000000000e+01,3.6532951289398284e-02,3.1400000000000002e+01,8.9602999999999997e+02,"Capital Region COG"
"EAST HADDAM","JG",2.0040000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",18675859.0000,13795253.0000,32913116.0000,2545500.0000,4449486.0000,15798282.0000,21435074.0000,14093258.0000,1281191.0000,20972963.0000,352260.0000,352260.0000,299823.0000,299823.0000,514548.0000,-27474.0000,462111.0000,0.0000,,7470885.0000,7470885.0000,0.0000,456637.0000,3683364.0000,3683364.0000,,13815.0000,15564837.0000,15473899.0000,9.9415747174223534e-01,15962440.0000,15661698.0000,9.8115939668371499e-01,8.7890000000000000e+03,"A1",5.4329999999999998e+01,634393540.0000,906220951.4286,2.8000000000000000e+01,4.0436716538617065e-02,2.4410000000000000e+01,1.4206100000000001e+03,"Midstate RPA"
"EAST HAMPTON","JG",2.0040000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",24518877.0000,12760489.0000,37296165.0000,912265.0000,8701251.0000,19439979.0000,29208306.0000,19340073.0000,2373421.0000,28040536.0000,16300.0000,16300.0000,481082.0000,481082.0000,702988.0000,-404440.0000,702988.0000,0.0000,,12759920.0000,12759920.0000,28918.0000,100000.0000,2431565.0000,2402647.0000,,,19284127.0000,19015770.0000,9.8608404725814136e-01,19600004.0000,19251546.0000,9.8222153424050318e-01,1.1927000000000000e+04,"A2",3.5590000000000003e+01,664043016.0000,1165736975.3743,4.6000000000000000e+01,4.9355890113301257e-02,2.8930000000000000e+01,2.1140599999999999e+03,"Midstate RPA"
"EAST HARTFORD","JG",2.0040000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",124195000.0000,1882000.0000,126639000.0000,9662000.0000,40142000.0000,91686000.0000,136493000.0000,73438000.0000,8316000.0000,134679000.0000,301000.0000,301000.0000,66000.0000,66000.0000,2049000.0000,1775000.0000,2049000.0000,0.0000,,47794000.0000,47794000.0000,734000.0000,1157000.0000,9799000.0000,9065000.0000,,2648000.0000,90309000.0000,87517000.0000,9.6908392297556167e-01,95555000.0000,90170000.0000,9.4364502119198368e-01,4.9416000000000000e+04,"A1",1.8020000000000000e+01,2342001572.0000,3903131065.6581,1.1410000000000000e+03,6.5665584415584413e-02,3.8600000000000001e+01,8.1772399999999998e+03,"Capital Region COG"
"EAST HAVEN","JG",2.0040000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",10951218.0000,7541509.0000,16263631.0000,-252368.0000,23661273.0000,41384879.0000,67430255.0000,38004823.0000,7309643.0000,68124851.0000,675098.0000,675098.0000,559741.0000,559741.0000,-579239.0000,798941.0000,-579239.0000,0.0000,,58965000.0000,58965000.0000,0.0000,4557956.0000,7355409.0000,7355409.0000,-2531216.0000,3323891.0000,40981321.0000,39993049.0000,9.7588481835419605e-01,43053263.0000,40920276.0000,9.5045701878624156e-01,2.8808000000000000e+04,"A3",1.2260000000000000e+01,1233490410.0000,2338884605.7495,2.9400000000000000e+02,5.3816234138876491e-02,3.3899999999999999e+01,4.1477700000000004e+03,"South Central Regional COG"
"EAST LYME","JG",2.0040000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",40348114.0000,2852430.0000,52245979.0000,-1827107.0000,9367574.0000,32602862.0000,46582619.0000,31227558.0000,5657575.0000,47463387.0000,2400000.0000,2400000.0000,515941.0000,515941.0000,1003291.0000,480510.0000,1003291.0000,0.0000,,43107832.0000,43107832.0000,988163.0000,263354.0000,5752307.0000,4764144.0000,59254605.0000,268522.0000,32126818.0000,31736926.0000,9.8786397084205479e-01,33022214.0000,32175490.0000,9.7435895727645638e-01,1.8629000000000000e+04,"A1",3.4030000000000001e+01,1313034940.0000,2513188155.6422,4.4000000000000000e+01,3.7497321619884297e-02,2.4350000000000001e+01,3.0624700000000003e+03,"Southeastern CT COG"
"EAST WINDSOR","JG",2.0040000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",4637154.0000,8993506.0000,13650116.0000,851112.0000,5883775.0000,17199739.0000,23790761.0000,14206525.0000,1554990.0000,24058122.0000,450000.0000,450000.0000,667968.0000,667968.0000,-485329.0000,-142676.0000,-267361.0000,0.0000,,12852326.0000,12852326.0000,0.0000,600000.0000,2944812.0000,2944812.0000,,,17149419.0000,16638148.0000,9.7018726990109694e-01,18064606.0000,16905047.0000,9.3581044612874476e-01,1.0261000000000000e+04,"A1",2.6280000000000001e+01,704020403.0000,1005229275.7143,7.4000000000000000e+01,5.2551020408163264e-02,2.4699999999999999e+01,1.6697900000000000e+03,"Capital Region COG"
"EASTFORD","BP",2.0040000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",1851761.0000,773886.0000,2664939.0000,156123.0000,1221037.0000,2625926.0000,3997470.0000,2979606.0000,120185.0000,3916881.0000,0.0000,0.0000,33250.0000,33250.0000,47339.0000,-304142.0000,47339.0000,0.0000,,54683.0000,54683.0000,250505.0000,0.0000,558779.0000,308274.0000,,,2595297.0000,2565829.0000,9.8864561551144248e-01,2658674.0000,2604510.0000,9.7962743833956323e-01,1.7250000000000000e+03,"A3",2.8879999999999999e+01,94269412.0000,134670588.5714,3.0000000000000000e+00,3.7433155080213901e-02,2.8300000000000001e+01,2.4598000000000002e+02,"Northeastern CT COG"
"EASTON","BP",2.0040000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",10225080.0000,2709846.0000,24940221.0000,2177968.0000,965561.0000,26052087.0000,28023002.0000,17192036.0000,2671155.0000,26966186.0000,0.0000,0.0000,341813.0000,341813.0000,715003.0000,-709259.0000,715003.0000,0.0000,8822519.0000,33900000.0000,42722519.0000,0.0000,291200.0000,3075392.0000,3075392.0000,,237675.0000,25931710.0000,25657944.0000,9.8944280959489361e-01,26473996.0000,25887020.0000,9.7782820545866966e-01,7.4880000000000000e+03,"Aa1",2.7420000000000002e+01,1201395240.0000,1716222242.8571,2.0000000000000000e+00,3.2081162599396765e-02,2.1650000000000002e+01,1.5153299999999999e+03,"Greater Bridgeport RPA"
"ELLINGTON","JG",2.0040000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",35853529.0000,4836130.0000,41319631.0000,3150667.0000,9978378.0000,22248483.0000,33952520.0000,22841721.0000,2546661.0000,34423122.0000,250651.0000,250651.0000,185281.0000,185281.0000,-405232.0000,-107109.0000,-405232.0000,0.0000,,23938264.0000,23938264.0000,0.0000,2830572.0000,4067667.0000,4067667.0000,11801660.0000,,22296423.0000,21985717.0000,9.8606476025324785e-01,23129599.0000,22215206.0000,9.6046654332398929e-01,1.4141000000000000e+04,"A2",3.4049999999999997e+01,708713447.0000,1282220212.2869,3.3000000000000000e+01,3.9971017992996016e-02,3.1400000000000002e+01,2.3948400000000001e+03,"Capital Region COG"
"ENFIELD","JG",2.0040000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",75912088.0000,41824539.0000,117797723.0000,12408813.0000,30159267.0000,68362689.0000,101656730.0000,65267466.0000,4334424.0000,97333019.0000,229000.0000,229000.0000,5253146.0000,5253146.0000,-700435.0000,-393684.0000,-700435.0000,0.0000,,31500000.0000,31500000.0000,2709235.0000,6192983.0000,17696617.0000,14987382.0000,,,67419524.0000,65868344.0000,9.7699212471449670e-01,70038881.0000,67205325.0000,9.5954310006751820e-01,4.5567000000000000e+04,"Aa3",3.3380000000000003e+01,2035393845.0000,3630990392.9613,3.7500000000000000e+02,5.1729284830909633e-02,3.3430000000000000e+01,6.8619300000000003e+03,"Capital Region COG"
"ESSEX","JG",2.0040000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",5628413.0000,2002721.0000,7631134.0000,341850.0000,873435.0000,13399154.0000,15037510.0000,10101268.0000,635661.0000,14759072.0000,0.0000,114843.0000,205685.0000,205685.0000,72753.0000,78458.0000,187596.0000,0.0000,9828448.0000,2410982.0000,12239430.0000,271881.0000,0.0000,1492955.0000,1221074.0000,,,13439559.0000,13276459.0000,9.8786418512690777e-01,13666219.0000,13377204.0000,9.7885186824534276e-01,6.8160000000000000e+03,"Aa3",1.0359999999999999e+01,675214009.0000,1339381419.2123,7.0000000000000000e+00,3.6876355748373099e-02,2.0000000000000000e+01,9.1618000000000006e+02,"CT River Estuary RPA"
"FAIRFIELD","BP",2.0040000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",161742000.0000,32509000.0000,194700000.0000,19972000.0000,12421000.0000,153247000.0000,179976000.0000,104400000.0000,16116000.0000,182204000.0000,1076000.0000,1076000.0000,4329000.0000,4329000.0000,-5481000.0000,2237000.0000,-5481000.0000,0.0000,,175118000.0000,175118000.0000,2118000.0000,3059000.0000,11529000.0000,9411000.0000,,2223000.0000,150234000.0000,148760000.0000,9.9018863905640531e-01,152545000.0000,149941000.0000,9.8292962732308498e-01,5.7861000000000000e+04,"Aaa",3.0030000000000001e+01,7192891954.0000,13766904157.8881,1.0500000000000000e+02,3.9557480257651295e-02,2.1500000000000000e+01,8.8558500000000004e+03,"Greater Bridgeport RPA"
"FARMINGTON","JG",2.0040000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",8964428.0000,23892223.0000,32856651.0000,7919259.0000,7927234.0000,57049991.0000,69864548.0000,40892008.0000,9497701.0000,70692094.0000,78881.0000,19094681.0000,1375500.0000,18865500.0000,-2124165.0000,-171602.0000,-598365.0000,0.0000,,72954796.0000,72954796.0000,238519.0000,1250000.0000,7335916.0000,7097397.0000,1273138.0000,194745.0000,57180679.0000,57027332.0000,9.9700000000000000e-01,57645008.0000,57393551.0000,9.9600000000000000e-01,2.4682000000000000e+04,"Aa1",2.8060000000000002e+01,2603824815.0000,3764663292.8571,5.7000000000000000e+01,3.9503569110966905e-02,2.1900000000000002e+01,4.3428000000000002e+03,"Capital Region COG"
"FRANKLIN","BP",2.0040000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",4199540.0000,4273709.0000,8481795.0000,526303.0000,1297238.0000,3307707.0000,4860303.0000,3632634.0000,660827.0000,5261364.0000,50.0000,50.0000,124000.0000,124000.0000,-525011.0000,325150.0000,-525011.0000,0.0000,,3440000.0000,3440000.0000,359291.0000,0.0000,646878.0000,287587.0000,,,3220124.0000,3119476.0000,9.6874406078772124e-01,3520800.0000,3243550.0000,9.2125369234264942e-01,1.9270000000000000e+03,"A3",1.9510000000000002e+01,124370666.0000,223416351.4153,1.0000000000000000e+01,3.5375323554788611e-02,2.6300000000000001e+01,3.1707999999999998e+02,"Southeastern CT COG"
"GLASTONBURY","JG",2.0040000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",97173668.0000,40598489.0000,137772157.0000,6643592.0000,8621423.0000,83572200.0000,97549513.0000,60485905.0000,5980679.0000,96727632.0000,1287490.0000,1287490.0000,2181170.0000,2181170.0000,-71799.0000,599915.0000,-71799.0000,0.0000,,62355000.0000,62355000.0000,322400.0000,866620.0000,9125380.0000,8802980.0000,,,83267767.0000,82794126.0000,9.9431183257262079e-01,83779920.0000,83306279.0000,9.9434660477116710e-01,3.2852000000000000e+04,"Aa1",5.1370000000000005e+01,2888790440.0000,4126843485.7143,5.2000000000000000e+01,3.2897003100241129e-02,2.8750000000000000e+01,6.7366999999999998e+03,"Capital Region COG"
"GOSHEN","JG",2.0040000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",1941320.0000,1055982.0000,3126846.0000,205889.0000,292354.0000,6988682.0000,7635504.0000,5250304.0000,160326.0000,7319958.0000,37200.0000,37200.0000,100000.0000,100000.0000,252746.0000,-737203.0000,252746.0000,0.0000,3465087.0000,412500.0000,3877587.0000,0.0000,0.0000,620869.0000,620869.0000,,,6954696.0000,6887599.0000,9.9035227420436489e-01,7117526.0000,6955936.0000,9.7729688658671565e-01,3.0070000000000000e+03,"A2",4.3660000000000004e+01,345639023.0000,493770032.8571,5.0000000000000000e+00,4.4980443285528034e-02,2.0000000000000000e+01,4.2257999999999998e+02,"Litchfield Hills Cncl of Elected Ofcls"
"GRANBY","JG",2.0040000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",20614636.0000,6925978.0000,28642921.0000,1650676.0000,5960145.0000,23463675.0000,30411709.0000,20560202.0000,2946400.0000,30314912.0000,1250045.0000,1250045.0000,1565711.0000,1565711.0000,-218869.0000,-380976.0000,-218869.0000,0.0000,,22593547.0000,22593547.0000,361830.0000,1042000.0000,3366658.0000,3004828.0000,,1208022.0000,23341166.0000,23112573.0000,9.9020644469946362e-01,23719273.0000,23369392.0000,9.8524908415194679e-01,1.0989000000000000e+04,"A1",4.0689999999999998e+01,761071210.0000,1087244585.7143,1.1000000000000000e+01,3.5415970598062146e-02,3.0600000000000001e+01,2.2016799999999998e+03,"Capital Region COG"
"GREENWICH","JG",2.0040000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",227717199.0000,14453880.0000,242171079.0000,15496308.0000,22918786.0000,216159871.0000,269300719.0000,104916756.0000,8573321.0000,254294378.0000,2764861.0000,2764861.0000,15603024.0000,15603024.0000,2168178.0000,3025367.0000,2168178.0000,0.0000,,42321155.0000,42321155.0000,6123802.0000,0.0000,18540997.0000,12417195.0000,13036587.0000,,213895448.0000,213166909.0000,9.9659394808626312e-01,216735661.0000,215019597.0000,1.0045741192498336e+00,6.2317000000000000e+04,"Aaa",4.7829999999999998e+01,19916614205.0000,38418587047.2936,9.8000000000000000e+01,3.1173176727670036e-02,1.0746000000000000e+01,9.0324099999999999e+03,"South Western RPA"
"GRISWOLD","JG",2.0040000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",18158033.0000,11755415.0000,29913448.0000,831391.0000,12395226.0000,11897900.0000,26887263.0000,20337990.0000,2322356.0000,26114245.0000,385607.0000,385607.0000,670582.0000,670582.0000,488043.0000,-209431.0000,488043.0000,0.0000,,10305000.0000,10305000.0000,492586.0000,1400000.0000,3669683.0000,3177097.0000,90507.0000,,11738527.0000,11300784.0000,9.6270886457900551e-01,12546552.0000,11682811.0000,9.3115710196713808e-01,1.1194000000000000e+04,,3.4950000000000003e+01,448526302.0000,846932399.0000,9.9000000000000000e+01,4.8471615720524018e-02,2.5879999999999999e+01,2.0223300000000002e+03,"Southeastern CT COG"
"GROTON","JG",2.0040000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",64173597.0000,28026939.0000,92200536.0000,8048507.0000,44544690.0000,57749758.0000,105432834.0000,62444397.0000,3595926.0000,96376439.0000,810405.0000,6243793.0000,3039943.0000,8359045.0000,6826857.0000,-4624980.0000,6941143.0000,0.0000,,17970000.0000,17970000.0000,2627220.0000,2506713.0000,13700162.0000,11072942.0000,,4720956.0000,56684215.0000,55467362.0000,9.7853277142499018e-01,58959785.0000,57028990.0000,9.6725233987878345e-01,4.0522000000000000e+04,"Aa3",3.1300000000000001e+01,2484745841.0000,4880525377.6492,4.0600000000000000e+02,4.5983551440542079e-02,2.2750000000000000e+01,5.8744300000000003e+03,"Southeastern CT COG"
"GROTON (City of)","JG",2.0040000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,15280844.0000,4366302.0000,22768845.0000,569364.0000,1150933.0000,4673090.0000,10861603.0000,0.0000,1045607.0000,11701467.0000,1620819.0000,1620819.0000,359663.0000,359663.0000,421292.0000,430054.0000,421292.0000,0.0000,,6362600.0000,6362600.0000,93850.0000,470026.0000,2734420.0000,2640570.0000,42287953.0000,2782443.0000,4420061.0000,4369291.0000,9.8851373318151037e-01,4699007.0000,4623140.0000,9.8385467397686366e-01,,"Aa3",,,,,,,,
"GUILFORD","JG",2.0040000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",-5881570.0000,4240356.0000,-1641214.0000,890512.0000,6126754.0000,50945617.0000,59532456.0000,39230998.0000,4015613.0000,59962243.0000,29405.0000,29405.0000,741563.0000,741563.0000,-1141945.0000,-306941.0000,-1141945.0000,0.0000,,29480000.0000,29480000.0000,1088071.0000,1300000.0000,5913884.0000,4825813.0000,1762032.0000,-647045.0000,50847929.0000,50681294.0000,9.9672287538003757e-01,51285220.0000,50944934.0000,9.9336483298696976e-01,2.2245000000000000e+04,"Aa2",4.7050000000000004e+01,2394985169.0000,3421407384.2857,3.6000000000000000e+01,3.2420749279538905e-02,2.1170000000000002e+01,3.9217900000000000e+03,"South Central Regional COG"
"HADDAM","JG",2.0040000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",7692249.0000,5165897.0000,13155763.0000,178358.0000,1226849.0000,16078608.0000,17981086.0000,13579290.0000,0.0000,18007262.0000,0.0000,0.0000,168500.0000,168500.0000,-194676.0000,-11322.0000,-194676.0000,0.0000,10497876.0000,0.0000,10497876.0000,297617.0000,900000.0000,2843065.0000,2545448.0000,,,16107952.0000,15774171.0000,9.7927849549092272e-01,17093634.0000,15894482.0000,9.2984803582433084e-01,7.5350000000000000e+03,"Baa1",4.4030000000000001e+01,566600730.0000,973958247.5171,1.3000000000000000e+01,3.4824774079788408e-02,2.8500000000000000e+01,1.2845000000000000e+03,"Midstate RPA"
"HAMDEN","JG",2.0040000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",102073551.0000,-63138454.0000,38960149.0000,-23029289.0000,29799238.0000,98827338.0000,134297132.0000,77222394.0000,8270116.0000,137165920.0000,0.0000,828651.0000,0.0000,0.0000,-2868788.0000,-2960760.0000,-2040137.0000,0.0000,,83762248.0000,83762248.0000,460873.0000,0.0000,3805094.0000,3344221.0000,-6248797.0000,-2503981.0000,98231580.0000,96843198.0000,9.8586623568510245e-01,100623783.0000,98238230.0000,9.7629235426380268e-01,5.8412000000000000e+04,"A2",3.2780000000000001e+01,2615496641.0000,5160673501.5131,5.4600000000000000e+02,4.5692036340643616e-02,3.7609999999999999e+01,7.1459700000000003e+03,"South Central Regional COG"
"HAMPTON","BP",2.0040000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",2791046.0000,2208609.0000,5004223.0000,54724.0000,1613368.0000,3215933.0000,4978518.0000,3616559.0000,328842.0000,4840090.0000,0.0000,0.0000,81000.0000,81000.0000,57428.0000,29158.0000,57428.0000,0.0000,0.0000,1158563.0000,1158563.0000,0.0000,0.0000,484705.0000,484705.0000,,,3269353.0000,3106471.0000,9.5017913330252191e-01,3475509.0000,3187808.0000,9.1722047044044486e-01,1.9680000000000000e+03,,2.5000000000000000e+01,81994822.0000,161962201.5479,1.1000000000000000e+01,4.5372050816696916e-02,3.9700000000000003e+01,2.7184000000000003e+02,"Windham Region COG"
"HARTFORD","JG",2.0040000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",355753000.0000,44137000.0000,450335000.0000,-10101000.0000,221690000.0000,183048000.0000,425172000.0000,204344000.0000,21432000.0000,414446000.0000,12784000.0000,12784000.0000,27831000.0000,27831000.0000,-4321000.0000,-5990000.0000,-4321000.0000,0.0000,,142415000.0000,142415000.0000,379000.0000,700000.0000,21472000.0000,21093000.0000,48899000.0000,-35914000.0000,185277000.0000,175153000.0000,9.4535749175558759e-01,200690000.0000,184207000.0000,9.1786835417808565e-01,1.2505300000000000e+05,"A2",1.7309999999999999e+01,3579222711.0000,6515441286.8058,9.0650000000000000e+03,1.0016877637130801e-01,5.2920000000000002e+01,2.4067070000000000e+04,"Capital Region COG"
"HARTLAND","BP",2.0040000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",4986315.0000,1446321.0000,6440114.0000,-195146.0000,1645453.0000,3605799.0000,5352034.0000,3989715.0000,405667.0000,5317115.0000,77.0000,77.0000,59483.0000,59483.0000,-24487.0000,-83697.0000,-24487.0000,0.0000,,2507199.0000,2507199.0000,0.0000,194895.0000,487263.0000,487263.0000,,,3477913.0000,3433240.0000,9.8715522786222654e-01,3631660.0000,3544351.0000,9.7595892787320404e-01,2.0780000000000000e+03,"A3",3.3020000000000003e+01,144049880.0000,205785542.8571,2.0000000000000000e+00,3.8826574633304571e-02,2.4000000000000000e+01,3.9194999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HARWINTON","BP",2.0040000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",4923681.0000,3576006.0000,8499687.0000,916727.0000,2384175.0000,10564971.0000,13412500.0000,9305837.0000,164250.0000,12856643.0000,0.0000,0.0000,188658.0000,188658.0000,367199.0000,49033.0000,367199.0000,0.0000,2993250.0000,502113.0000,3495363.0000,0.0000,0.0000,2121835.0000,2121835.0000,159225.0000,,10569698.0000,10400674.0000,9.8400862541200329e-01,11033616.0000,10558605.0000,9.5694874644903360e-01,5.5260000000000000e+03,"A2",3.0740000000000002e+01,329760902.0000,634044845.5754,8.0000000000000000e+00,4.6756667764241026e-02,3.1900000000000002e+01,9.6088999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HEBRON","BP",2.0040000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",20003688.0000,10231544.0000,30235232.0000,1702183.0000,5967008.0000,17221736.0000,24173245.0000,17284521.0000,1460855.0000,23429498.0000,897000.0000,968125.0000,813397.0000,813397.0000,827350.0000,-292208.0000,898475.0000,0.0000,14704489.0000,11106695.0000,25811184.0000,52535.0000,0.0000,3399125.0000,3346590.0000,,,17057580.0000,16882110.0000,9.8971307770504369e-01,17523797.0000,17061585.0000,9.7362375288871472e-01,9.0850000000000000e+03,"A1",3.6890000000000001e+01,556294217.0000,922483412.4263,6.0000000000000000e+00,3.6412418551169029e-02,3.0340000000000000e+01,1.9585300000000000e+03,"Capital Region COG"
"KENT","JG",2.0040000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",6285662.0000,4852615.0000,11217856.0000,206817.0000,507116.0000,6706708.0000,7899210.0000,4844161.0000,840599.0000,7801803.0000,570927.0000,570927.0000,1289000.0000,1289000.0000,-620666.0000,1826198.0000,-620666.0000,0.0000,694445.0000,7165000.0000,7859445.0000,1681908.0000,800509.0000,3390572.0000,1708664.0000,2010227.0000,,6673842.0000,6559718.0000,9.8289980493994311e-01,6879357.0000,6648213.0000,9.6640034817207476e-01,2.9450000000000000e+03,"A1",4.8469999999999999e+01,318594514.0000,631430774.4620,7.0000000000000000e+00,3.5121328224776503e-02,2.1000000000000000e+01,4.0260000000000002e+02,"Northwestern CT COG"
"KILLINGLY","JG",2.0040000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",18645210.0000,15740436.0000,35509833.0000,946906.0000,17256298.0000,17401427.0000,37409890.0000,27532855.0000,2429106.0000,36374121.0000,662048.0000,662048.0000,771541.0000,771541.0000,926276.0000,-575333.0000,926276.0000,0.0000,,16549623.0000,16549623.0000,144156.0000,600464.0000,3497367.0000,3353211.0000,,-268398.0000,16726791.0000,16249434.0000,9.7146153138399349e-01,17990758.0000,17202519.0000,9.5618644861989699e-01,1.7214000000000000e+04,"A1",4.8520000000000003e+01,748638800.0000,1127542314.2857,2.9900000000000000e+02,6.4610535794687077e-02,2.1400000000000002e+01,2.7696599999999999e+03,"Northeastern CT COG"
